Date Planted,Plant ID,Soil ID,Soil,Species ID,Measure Date,Survival (Yes=1),Leaf Count,Height,Height of First Petiole,Length of biggest leaf,Introduction.Field,Present in plot,Plot ID,Row,Number of plant in row,Plot Measure Date,L.c,H,H.Petiole,LBL
1/26/2017,1,22C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,2,22C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,3,41C,C,QUAL,3/24/2017,1,4,8.1,7.6,7.9,4/19/2017,1,C1,1,9,05/07/2017,4,8.1,7.6,9.4
1/26/2017,4,22C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,5,23C,C,QUAL,3/24/2017,1,4,12.6,12.3,5,4/19/2017,1,C1,3,1,05/07/2017,4,12.4,11.9,13.3
1/26/2017,6,31T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,7,33C,C,QUAL,3/24/2017,1,4,9.4,9,4.8,4/19/2017,1,C1,3,8,05/07/2017,4,8.6,8.2,10
1/26/2017,8,32CIR,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,9,11T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,10,33T,T,QUAL,3/24/2017,1,4,4.2,3.9,4,4/19/2017,1,C1,9,1,05/07/2017,3,5.2,5,5.9
1/26/2017,11,41C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,12,31T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,13,32CIR,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,14,22C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,15,24T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,16,33T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,17,11C,C,QUAL,3/24/2017,1,4,10,9.6,9.5,4/19/2017,1,C1,5,1,05/07/2017,4,10.9,10.5,9.9
1/26/2017,18,23T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,19,42C,C,QUAL,3/24/2017,1,5,11.7,10.5,10,4/19/2017,1,C1,5,5,05/07/2017,5,12.5,11.4,11.2
1/26/2017,20,42C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,21,21T,T,QUAL,3/24/2017,1,3,6.8,6.6,4.4,4/19/2017,1,R1,1,6,05/07/2017,3,6.5,6.1,9.1
1/26/2017,22,32CIR,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,23,22C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,24,41T,T,QUAL,3/24/2017,1,4,11.1,10.6,9.2,4/19/2017,1,R1,2,5,05/07/2017,4,11,10,10.5
1/26/2017,25,31T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,26,21C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,27,21C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,28,22C,C,QUAL,3/24/2017,1,5,9.5,9.2,4.2,4/19/2017,1,R1,3,2,05/07/2017,5,9.2,8.7,5.6
1/26/2017,29,33T,T,QUAL,3/24/2017,1,5,8.4,8,7.7,4/19/2017,1,R1,5,9,05/07/2017,5,8.1,7.4,10.1
1/26/2017,30,31T,T,QUAL,3/24/2017,1,3,10.2,10,12,4/19/2017,1,R1,6,4,05/07/2017,3,10.6,10,12.2
1/26/2017,31,22C,C,QUAL,3/24/2017,1,5,9.4,8.7,4.1,4/19/2017,1,R1,7,6,05/07/2017,5,10.2,9.2,9.7
1/26/2017,32,42C,C,QUAL,3/24/2017,1,5,6.9,6.5,1.8,4/19/2017,1,I1,1,2,05/07/2017,5,7.4,6.8,8.2
1/26/2017,33,41C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,34,21C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,35,23C,C,QUAL,3/24/2017,1,5,11.9,11.5,3.9,4/19/2017,1,I1,2,7,05/07/2017,5,11.9,11.4,12.5
1/26/2017,36,42T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,37,31C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,38,21C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,39,21C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,40,41C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,41,42T,T,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,42,31C,C,QUAL,3/24/2017,0,0,0,0,0,4/19/2017,0,0,0,0,0,0,0,0,0
1/26/2017,43,22C,C,QUAL,3/24/2017,1,4,8.5,7.9,5,4/19/2017,1,I1,3,7,05/07/2017,4,8.6,8,6.2
