Plot ID,Tree ID,Direction,Diameter
IR-1-1-C,3,S,1
IR-1-1-C,3,S,2
IR-1-1-C,3,S,5
IR-1-1-T,1,S,3
IR-1-1-T,1,S,3
IR-1-1-T,1,S,3
IR-1-1-T,1,S,4
IR-1-1-T,1,S,5
IR-1-1-T,1,S,8
IR-1-1-T,1,S,10
IR-1-1-T,1,S,10
IR-1-1-T,1,N,5
IR-1-1-T,1,N,3
IR-1-1-T,1,N,3
IR-1-1-T,1,N,5
IR-1-1-T,1,N,5
IR-1-1-T,1,N,6
IR-1-1-T,1,N,5
IR-1-1-T,1,N,6
IR-1-1-T,1,N,3
IR-1-1-T,1,N,6
IR-1-1-T,1,N,6
IR-1-1-T,1,N,5
IR-1-1-T,1,N,5
IR-1-1-T,1,N,3
IR-1-1-T,1,N,6
IR-1-1-T,1,N,10
IR-1-1-T,1,N,5
IR-1-1-T,1,N,7
IR-1-1-T,1,N,6
IR-1-1-T,1,N,5
IR-1-1-T,1,N,9
IR-1-1-T,1,N,5
IR-1-1-T,1,N,5
IR-1-1-T,2,S,7
IR-1-1-T,2,S,6
IR-1-1-T,2,S,7
IR-1-1-T,2,S,3
IR-1-1-T,2,S,3
IR-1-1-T,2,S,16
IR-1-1-T,2,S,3
IR-1-1-T,2,S,3
IR-1-1-T,2,S,1
IR-1-1-T,2,S,1
IR-1-1-T,2,S,3
IR-1-1-T,2,S,3
IR-1-1-T,2,S,6
IR-1-1-T,2,S,7
IR-1-1-T,2,S,7
IR-1-1-T,2,S,6
IR-1-1-T,2,S,5
IR-1-1-T,2,N,12
IR-1-1-T,2,N,16
IR-1-1-T,2,N,12
IR-1-1-T,2,N,6
IR-1-1-T,2,N,6
IR-1-1-T,2,N,8
IR-1-1-T,2,N,6
IR-1-1-T,2,N,6
IR-1-1-T,2,N,10
IR-1-1-T,2,N,16
IR-1-1-T,2,N,9
IR-1-1-T,2,N,10
IR-1-1-T,2,N,15
IR-1-1-T,3,S,4
IR-1-1-T,3,S,4
IR-1-1-T,3,S,3
IR-1-1-T,3,S,7
IR-1-1-T,3,S,6
IR-1-1-T,3,S,7
IR-1-1-T,3,N,5
IR-1-1-T,3,N,7
IR-1-1-T,3,N,17
IR-1-1-T,3,N,6
IR-1-1-T,3,N,4
IR-2-1-T,1,N,6
IR-2-1-T,1,N,7
IR-2-1-T,1,N,3
IR-2-1-T,1,N,6
IR-2-1-T,1,N,4
IR-2-1-T,2,S,5
IR-2-1-T,2,S,4
IR-2-1-T,2,S,4
IR-2-1-T,2,S,4
IR-2-1-T,2,S,2
IR-2-1-T,2,S,6
IR-2-1-T,2,N,7
IR-2-1-T,2,N,2
IR-2-1-T,2,N,11
IR-2-1-T,2,N,4
IR-2-1-T,2,N,5
IR-2-1-T,2,N,3
IR-2-1-T,2,N,7
IR-2-1-T,2,N,6
IR-2-1-T,2,N,6
IR-2-1-T,2,N,4
IR-2-1-T,2,N,5
IR-2-1-T,2,N,3
IR-2-1-T,2,N,3
IR-2-1-T,2,N,5
IR-2-1-T,2,N,8
IR-2-1-T,2,N,2
IR-2-1-T,2,N,8
IR-2-1-T,2,N,6
IR-2-1-T,2,N,4
IR-2-1-T,2,N,2
IR-2-1-T,2,N,2
IR-2-1-T,3,S,23
IR-2-1-T,3,S,7
IR-2-1-T,3,S,3
IR-2-1-T,3,S,3
IR-2-1-T,3,S,4
IR-2-1-T,3,S,7
IR-2-1-T,3,S,10
IR-2-1-T,3,S,4
IR-2-1-T,3,S,6
IR-2-1-T,3,S,11
IR-2-1-T,3,S,6
IR-2-1-T,3,S,4
IR-2-1-T,3,S,5
IR-2-1-T,3,S,4
IR-2-1-T,3,S,3
IR-2-1-T,3,S,10
IR-2-1-T,3,S,4
IR-2-1-T,3,S,11
IR-2-1-T,3,S,4
IR-2-1-T,3,S,7
IR-2-1-T,3,S,6
IR-2-1-T,3,S,6
IR-2-1-T,3,S,3
IR-2-1-T,3,S,3
IR-2-1-T,3,N,5
IR-2-1-T,3,N,10
IR-2-1-T,3,N,12
IR-2-1-T,3,N,5
IR-2-1-T,3,N,4
IR-2-1-T,3,N,4
IR-2-1-T,3,N,10
IR-2-1-T,3,N,3
IR-2-1-T,3,N,7
IR-2-1-T,3,N,10
