Stem.ID	Diameter	Wet.mass	Dry.mass
1	1	0.8	0.3
2	1	0.6	0.3
3	1	0.2	0.1
4	1	0.2	0.2
5	1	0.4	0.1
6	1	0.3	0.2
7	1	0.3	0.1
8	1	0.3	0.1
9	2	0.7	0.6
10	2	1.1	0.9
11	2	0.7	0.3
12	2	0.7	0.5
13	2	1.4	0.4
14	2	0.3	0.3
15	3	1.5	0.4
16	3	1.9	0.4
17	3	0.6	0.9
18	3	1.1	0.7
19	3	0.8	1.2
20	4	1.5	0.4
21	4	1.8	1.1
22	4	2.5	1.2
23	5	2	1.2
24	5	3.1	1.4
25	6	3.9	3
26	6	3.9	2.9
27	6	4.5	1.6
28	6	4.3	2.8
29	6	2.7	2.7
30	7	4.7	3.7
31	7	4.8	2.6
32	8	6.3	2.2
33	8	5.1	4.6
34	8	8.1	6.5
35	9	9.1	5.6
36	10	11.5	8.7
37	14	18.3	13.9
38	16	24.4	15.5
39	16	22.5	18.6
40	20	33	23.3
41	20	31.1	21.7
42	21	36.8	23.8
43	23	34.3	26.1
44	25	37.1	25.6
