"#### Capture rates of each bat species. Number of individual captures per 1000 mist net hours (using 12 x 2.6 m nets), divided by total mist net hours ####",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Type,Ametrida centurio,Artibeus concolor,Artibeus glaucus,Artibeus gnomus,Artibeus lituratus,Artibeus obscurus,Artibeus planirostris,Chrotopterus auritus,Carollia brevicauda,Cormura brevirostris,Choeroniscus minor,Carollia perspicillata,Chiroderma trinitatum,Chiroderma villosum,Desmodus rotundus,Eumops auripendulus,Glyphonycteris daviesi,Glossophaga soricina,Glyphonycteris sylvestris,Lophostoma brasiliense,Lophostoma carrikeri,Lophostoma schulzi,Lophostoma silvicolum,Lionycteris spurrelli,Lonchophylla thomasi,Myotis albescens,Micronycteris brosseti,Mimon crenulatum,Micronycteris hirsute,Mesophylla macconnelli,Micronycteris megalotis,Micronycteris microtis,Micronycteris minuta,Phyllostomus discolor,Phyllostomus elongatus,Phyllostomus hastatus,Platyrrhinus helleri,Peropteryx leucoptera,Pteronotus parnellii,Phylloderma stenops,Rhinophylla pumilio,Saccopteryx bilineata,Sturnira lilium,Sturnira tildae,Trachops cirrhosus,Trinycteris nicefori,Tonatia saurophila,Uroderma bilobatum,Vampyressa bidens,Vampyressa pusilla
K43-4U,U,0,0,0,2.31,2.31,2.31,2.31,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0
K43-4L,L,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0
K43-3U,U,0,0,0,2.36,7.09,7.09,2.36,2.36,0,0,4.73,2.36,0,0,2.36,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,2.36
K43-3L,L,0,0,0,7.94,0,0,3.97,0,0,0,7.94,3.97,0,0,0,0,0,3.97,0,0,3.97,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,3.97,3.97,3.97,0,0,0,3.97,0,3.97,3.97,0,0
K43-2U,U,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0
K43-2L,L,0,0,0,2.5,0,7.49,0,0,0,0,0,4.99,0,0,0,0,0,2.5,0,0,0,0,4.99,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,2.5,0,4.99,0,0,0,2.5,0,0,0,0,0
K43-1U,U,0,0,0,1.85,7.41,1.85,5.56,0,0,0,3.7,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,1.85,0
K43-1L,L,0,0,0,5.16,0,2.58,0,0,0,0,2.58,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,2.58,0,7.74,0,0,0,0,0,2.58,0,5.16,0
K41-4U,U,0,4.63,0,2.31,46.3,20.83,9.26,4.63,0,0,0,6.94,2.31,6.94,0,0,0,0,0,4.63,0,0,0,0,0,0,0,2.31,0,4.63,0,0,0,0,2.31,0,0,0,0,0,32.41,0,0,2.31,0,0,4.63,0,0,0
K41-4L,L,0,0,3,0,87.09,6.01,6.01,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,3,6.01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.01,0,15.02,0,0,0,0,0,3,3,3,0
K41-3U,U,0,0,0,0,2.31,0,9.26,2.31,0,0,2.31,0,0,0,0,0,2.31,0,0,0,0,2.31,0,0,0,0,0,0,0,2.31,2.31,0,0,2.31,6.94,0,0,0,18.52,0,4.63,0,0,0,0,0,2.31,0,2.31,0
K41-3L,L,2.58,0,0,2.58,25.84,7.75,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,2.58,0,0,0,2.58,0,10.34,0,0,0,0,0,0,2.58,0,0,0,5.17,0,10.34,0,0,0,0,0,2.58,0,2.58,0
K41-2U,U,0,0,0,0,0,0,9.66,4.83,0,0,7.25,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,16.91,0,0,0,2.42,0,0,4.83,0,0,0,12.08,0,4.83,0,0,0,2.42,0,0,0,0,0
