"","Trap.ID","Location","Diameter"
"1","E-1-1-T","LL",20
"2","E-1-1-T","LL",15
"3","E-1-1-T","LL",6
"4","E-1-1-T","LL",10
"5","E-1-1-T","LL",13
"6","E-1-1-T","LL",5
"7","E-1-1-T","LL",7
"8","E-1-1-T","LL",5
"9","E-1-1-T","LL",10
"10","E-1-1-T","LL",12
"11","E-1-1-T","LR",5
"12","E-1-1-T","LR",5
"13","E-1-1-T","LR",5
"14","E-1-1-T","LR",6
"15","E-1-1-T","LR",5
"16","E-1-1-T","LR",4
"17","E-1-1-T","LR",10
"18","E-1-1-T","LR",1
"19","E-1-1-T","LR",2
"20","E-1-1-T","LR",2
"21","E-1-1-T","LR",2
"22","E-1-1-T","LR",2
"23","E-1-1-T","LR",7
"24","E-1-1-T","LR",10
"25","E-1-1-T","LR",5
"26","E-1-1-T","LR",2
"27","E-1-1-T","LR",5
"28","E-1-1-T","LR",1
"29","E-1-1-T","LR",8
"30","E-1-1-T","LR",2
"31","E-1-1-T","LR",1
"32","E-1-1-T","LR",2
"33","E-1-1-T","LR",1
"34","E-1-1-T","LR",11
"35","E-1-1-T","LR",11
"36","E-1-1-T","LR",8
"37","E-1-1-T","LR",8
"38","E-1-1-T","LR",8
"39","E-1-1-T","LR",12
"40","E-1-1-T","LR",9
"41","E-1-1-T","LR",2
"42","E-1-1-T","LR",1
"43","E-1-1-T","LR",2
"44","E-1-1-T","LR",10
"45","E-1-1-T","LR",5
"46","E-1-1-T","LR",9
"47","E-1-1-T","LR",10
"48","E-1-1-T","LR",5
"49","E-1-1-T","UL",4
"50","E-1-1-T","UL",1
"51","E-1-1-T","UL",2
"52","E-1-1-T","UL",1
"53","E-1-1-T","UL",1
"54","E-1-1-T","UL",1
"55","E-1-1-T","UL",1
"56","E-1-1-T","UL",2
"57","E-1-1-T","UL",3
"58","E-1-1-T","UL",1
"59","E-1-1-T","UL",1
"60","E-1-1-T","UL",1
"61","E-1-1-T","UL",2
"62","E-1-1-T","UR",1
"63","E-1-1-T","UR",1
"64","E-1-1-T","UR",1
"65","E-1-1-T","UR",1
"66","E-1-1-T","UR",2
"67","E-1-1-T","UR",2
"68","E-1-1-T","UR",6
"69","E-1-1-T","UR",2
"70","E-1-1-T","UR",3
"71","E-1-1-T","UR",1
"72","E-1-1-T","UR",3
