"#### Detection rates of each bird species using either mist nets or point counts. Rates are either number of individual captures per 1000 mist net hours (using 12 x 2.6 m nets) divided by total mist net hours, or detection rate per 100 point count minutes (truncated to 100m radius), divided by total point count minutes ####",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Type,Amazona amazonica,Ara chloropterus,Attila cinnamomeus,Amazona dufresniana,Amazona farinosa,Amazilia fimbriata,Ara macao,Automolus ochrolaemus,Automolus roraimae,Automolus rubiginosus,Attila spadiceus,Bucco capensis,Brotogeris chrysoptera,Buteo nitidus,Chloroceryle aenea,Crax alector,Cyphorhinus arada,Cyanerpes caeruleus,Cotinga cayana,Cercomacra cinerascens,Contopus cinereus,Cotinga cotinga,Cyanerpes cyaneus,Cyanocompsa cyanoides,Celeus elegans,Celeus flavus,Corapipo gutturalis,Cacicus haemorrhous,Chloroceryle inda,Campylopterus largipennis,Cymbilaimus lineatus,Campephilus melanoleucos,Chlorostilbon mellisugus,Chrysolampis mosquitus,Capito niger,Chlorostilbon notatus,Colaptes rubiginosus,Chlorophanes spiza,Cercomacra tyrannina,Celeus undatus,Catharus ustulatus,Crypturellus variegatus,Celeus torquatus,Corythopis torquatus,Deroptyus accipitrinus,Dendrocolaptes certhia,Dendrocincla fuliginosa,Dryocopus lineatus,Deconychura longicauda,Dendrocincla merula,Dendroplex picus,Dixiphia pipra,Epinecrophylla gutturalis,Formicarius analis,Formicarius colma,Formicivora grisea,Florisuga mellivora,Formicarius nigricapillus,Frederickena viridis,Galbula albirostris,Galbula dea,Glaucis hirsutus,Geotrygon montana,Gymnopithys rufigula,Glyphorynchus spirurus,Grallaria varia,Heliothryx auritus,Hypocnemis cantator,Herpsilochmus dorsimaculatus,Hemithraupis flavicollis,Henicorhina leucosticta,Hylopezus macularius,Hypocnemoides melanopogon,Haematoderus militaris,Hylophilus muscicapinus,Hylophilus ochraceiceps,Hylexetastes perrotii,Herpsilochmus stictocephalus,Herpsilochmus sticturus,Hylophilus thoracicus,Ibycter americanus,Ictinia plumbea,Jacamerops aureus,Lepidocolaptes albolineatus,Lanio fulvus,Lophotriccus galeatus,Laniocera hypopyrra,Leptotila verreauxi,Lipaugus vociferans,Monasa atra,Myrmotherula axillaris,Myiobius barbatus,Myrmotherula behni,Myrmotherula brachyura,Myrmothera campanisona,Myiozetetes cayanensis,Myiornis ecaudatus,Myrmeciza ferruginea,Micrastur gilvicollis,Myrmotherula guttata,Myrmotherula longipennis,Mionectes macconnelli,Myiodynastes maculatus,Myrmotherula menetriesii,Micrastur mirandollei,Momotus momota,Mionectes oleagineus,Micrastur ruficollis,Myrmotherula schisticolor,Myrmotherula surinamensis,Myiarchus tuberculifer,Microcerculus ustulatus,Megascops watsonii,Myrmornis torquata,Neopelma chrysocephalum,Notharchus macrorhynchos,Neomorphus rufipennis,Notharchus tectus,Onychorhynchus coronatus,Ornithion inerme,Pithys albifrons,Procnias albus,Pteroglossus aracari,Phaethornis augusti,Pyrilia caica,Phoenicircus carnifex,Pheugopedius coraya,Platyrinchus coronatus,Psophia crepitans,Psarocolius decumanus,Picumnus exilis,Piculus flavigula,Pionus fuscus,Phaethornis griseogularis,Penelope jacquacu,Phaethornis longuemareus,Penelope marail,Pionus menstruus,Pyrrhura picta,Platyrinchus platyrhynchos,Patagioenas plumbea,Philydor pyrrhodes,Phaethornis ruber,Philydor ruficaudatum,Platyrinchus saturatus,Phaethornis striigularis,Patagioenas subvinacea,Phaethornis superciliosus,Perissocephalus tricolor,Psarocolius viridis,Periporphyrus erythromelas,Philydor erythrocercum,Pheucticus melanocephalus,Pipra erythrocephala,Pionites melanocephalus,Piaya melanogaster,Ramphocaenus melanurus,Rhynchocyclus olivaceus,Ramphotrigon ruficauda,Rhytipterna simplex,Ramphastos tucanus,Ramphastos vitellinus,Selenidera culik,Saltator grossus,Schistocichla leucostigma,Schiffornis turdina,Turdus albicollis,Thamnomanes ardesiacus,Tolmomyias assimilis,Thamnomanes caesius,Trogon chionurus,Trogon collaris,Tyrannulus elatus,Terenotriccus erythrurus,Thalurania furcata,Touit huetii,Thamnophilus insignis,Threnetes leucurus,Taraba major,Trogon melanurus,Tangara mexicana,Thamnophilus murinus,Topaza pella,Tolmomyias poliocephalus,Thamnophilus punctatus,Touit purpuratus,Trogon rufus,Terenura spodioptila,Tolmomyias sulphurescens,Tachyphonus surinamus,Tinamus tao,Trogon violaceus,Tinamus major,Veniliornis cassini,Vireolanius leucotis,Willisornis poecilonota,Xiphorhynchus guttatus,Xenops minutus,Xiphorhynchus obsoletus,Xiphorhynchus pardalotus,Xiphocolaptes promeropirhynchus,Xipholena punicea
K43-4U,U,0,0,0,5,3.333,0,0,0,0,0,0,0,1.667,0,0,1.667,0,0,0,2.5,0,0,0,0,0,0,0,0,0,1.565,1.667,0,0,0,0,0,0,0,0,9.167,0,0,0,0,0,0,1.565,0,0,6.26,0,7.825,0,2.5,0.833,0,0,0,0,0,0,0,0,2.5,4.695,0,0,0.833,0,0,0,0.833,0,0,2.5,0,0,9.167,0,0,1.667,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,3.333,4.167,25.039,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.833,0,0,0,0,0,0,1.667,0,1.667,0,0,0,5,0.833,1.667,0,0,0,0,0,11.667,1.565,0,1.667,0,0,0.833,3.13,1.667,0,0,0,0,0,3.333,3.333,1.667,0,0,1.667,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.833,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.695,0,0,0,0,0
K43-4L,L,0,0,0.833,7.5,0,0,0,2.22,0,0,0,0,1.667,0,2.22,0,0,0,0,3.333,0,0,0,0,0,0,0,0,0,2.22,2.5,0,0,0,0,0,0,0,0,0,0,0.833,0,0,6.667,0,2.22,0,0,2.22,0,6.659,0,0,2.5,0,0,0,0,0,0,0,0,0,2.22,0,0,3.333,0,0,0,1.667,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.833,0,0,4.167,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,6.659,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0.833,0,1.667,0,0.833,0,2.5,0,7.5,0,0,0,1.667,0,1.667,0,0,0,5,0,2.5,0,2.22,0,0,0,0,0,0,2.5,0,0,1.667,0,5,0,0,0,0,0.833,1.667,3.333,0,2.5,0,0,0,0,0,0.833,0,0,0,0,4.44,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K43-3U,U,1.667,0,0,8.333,6.667,0,0,0,0,0,0,0,1.667,0,0,1.667,0,0,0.833,0,0,0,0,0,0,0.833,0,0,0,0,0,0.833,0,0,0,0,1.667,0,0,4.167,0,0,0,0,0,0,1.565,0,0,0,0,10.955,0,0,0,0,0,0,0,0,5,0,0,0.833,10.955,0,0,0,0,0,0,2.5,0,0,4.167,1.565,0,11.667,5,0,5,0,0.833,0,0,0,0,0,19.167,0,5,0,0,0,0,0,0,0,0,2.5,3.333,17.214,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0.833,0,0,2.5,0,1.667,0,1.667,0,0,3.333,11.667,4.167,0,3.333,1.667,0,0,0,0,1.667,0,0,5.833,0,0,0,0,0,0,1.565,0,0,0,0,2.5,0,4.167,0,0,0,0,0,1.667,3.333,1.667,0,0,0.833,0,2.5,2.5,3.333,5,0,0,0,1.565,0,0,0,0,0.833,0,12.5,0,0,0,0,0,0,0,0,0,0,0.833,0,0.833,3.333,3.13,0,0,0,0,0.833
K43-3L,L,1.667,0,0,8.333,5.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,5.19,0,0,0,0,0,0,0,0,0,0.833,0,1.667,0,0,0,0,0,0,0,0,0,13.841,0,0.833,0,0,0,0.833,0,0,0,0,0,0.833,13.841,0,0,0,0,0,0,4.167,0,0,2.5,1.73,3.46,6.667,0,0,3.333,0,0.833,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0.833,0,2.5,0,20.761,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0.833,0.833,0,0,0,0,0,0,1.667,0,0,0,0,0,0,1.667,0.833,0,0,0,0,0,0,5.19,0,1.667,0,0,0,0,3.333,0,0,0,0,2.5,0,1.667,0,0,0,0,0,0.833,0,0,0,0,0,0,1.73,0,0,0,0,0.833,0,5,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0
K43-2U,U,3.333,0,0,1.667,5,0,0,0,0,0,0.833,0,0,0,0,4.167,0,0,0,0,0.833,0,0,0,0,0,0,0,0,1.587,0,0,0,0,0,0,1.667,1.667,0,5.833,0,0.833,0,0,0,0,0,0,1.587,0,0,15.873,0,1.667,0.833,0,0,0,0,0,0,0,0,1.667,7.937,0,0,0,0,0,0,0,0,0,1.667,0,0,5.833,4.167,0,0,0,0,0,0,0,0,0,12.5,0,2.5,0,0,0,0,0,0,0,0,0,0.833,11.111,0,0,1.667,0,0,0,0,0.833,4.167,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.833,0,0,1.667,0,0,0,0,0,5.833,0,2.5,0,0,0,0,0,0,1.587,0,0,4.167,0,5,0,8.333,0,0.833,0,0,0,2.5,2.5,0.833,0.833,3.333,0,0,3.333,4.167,0,0.833,0.833,0,0.833,1.587,0,0,3.175,0,1.667,0,5,0,0.833,0,3.333,2.5,0,0,0,0,0,0,0.833,0,0,4.762,0,0,0,0,0
K43-2L,L,0,0,0,0.833,9.167,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.783,0,0,0,0,0,0,0,0,0,0.833,0,0.833,0,0,0,0,3.565,0,0,1.783,0,19.608,0,1.667,0,0,0,0,0,0,0,0,0,3.333,10.695,0,0,1.667,0,0,0,0,1.783,0,4.167,0,0,0,0,0.833,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,1.667,0,1.783,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.833,0,0,0,1.667,0.833,0,0,8.333,0,0,0,3.333,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,5.348,0,0.833,1.667,0,0,1.783,0,0,0,0,0,0.833,3.333,0.833,0,0,0.833,0,3.565,6.667,0,0.833,0.833,0,0,0,0,0,0,5.348,0,0,0,3.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.348,0,0,0,0,0
K43-1U,U,0,1.739,0,1.739,5.217,0,0,0,0,0,0.87,0,3.478,0,0,2.609,0,0,0,0.87,0,0,0,0,0,0,4.831,0,0,0,0,0,0,0,4.348,0,0,0,0,2.609,0,0.87,0,0,0,0,0,0,0,3.221,1.61,3.221,0,0,0,0,0,0,0,0,0,0,0,3.478,6.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.739,0,1.739,0,0,0,0.87,0,0,0,0,1.739,0,9.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.609,0,0,1.61,5.217,0,0,0,0,2.609,0,0,1.739,0,1.739,0,1.739,0,0,1.739,10.435,0,0,0,1.739,0,0.87,1.61,0,0,0,0,0,4.831,2.609,0,0,0,0,0,2.609,1.739,0,1.739,0,0,0,1.739,0,0,0.87,0,0,0,0,0,0,0,0,0,1.739,1.739,0,0,0,0,0,0,0,0,0,0,0,0,0,1.739,3.221,0,0,0,0,0
K43-1L,L,5,3.333,0,0,5,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0,3.333,0,0,0.833,0,0,0,0,0,0,1.681,0,6.723,0.833,0,0,0,0,0,0,0,0,0,0,2.5,13.445,0,0,4.167,0,0,0,0,0,0,1.667,1.681,0,1.667,0,0,0,0.833,1.667,0,0,0,0,0,26.667,0,0,0,0,1.667,0,0,0,0,0.833,0,0.833,3.361,0,0,0,0,1.681,0,0,0,0,0.833,0,0.833,0,0,0,0,0,0.833,0,0,0,0,0,0,0.833,0,5.833,0,0,0,3.333,0,0,0,0,5,5,0,4.167,0,0,0,0,0,0.833,0,0,1.667,0,0,0,3.361,0,0.833,0.833,0,0,0,0.833,2.5,0.833,3.333,0,0,1.681,1.667,0,0,0,0,0,0,0,0,0,0,0.833,0.833,0,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,1.681,0
K41-4U,U,2.5,1.25,0,2.5,1.25,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,3.125,0,3.75,0,2.5,0,3.221,0,0,1.61,0,0,3.221,0,38.647,0,1.25,0,0,0,0,0,0,0,0,0,1.25,4.831,0,0,0,0.625,0,0,0.625,0,0,2.5,0,0,2.5,0,0,0,0,0.625,0,0,0,0,0,14.375,0,1.875,0,0,0,0,0,0,0.625,0,1.875,0,14.493,0,0,0,0,0,0,0,0,0,0,0,0,9.662,0,0,0,0,0,3.125,0,0,0,1.25,0.625,0,0,9.375,0,0,0,1.25,0,0,0,0.625,0,0,4.375,2.5,0,0,0,2.5,0,1.25,1.61,0,3.125,0,0,2.5,1.61,1.875,0,0,0,0,1.875,1.25,0.625,0,0,0,0.625,1.61,0,0,4.375,2.5,0,0,1.25,1.61,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,8.052,0,0,1.61,0
K41-4L,L,4.706,2.353,0,5.882,4.706,0,2.353,0,0,0,0,0,2.941,0,0,1.765,0,0,0,0,0,0.588,0,0,0,0,0,0,0,3.209,0,0,1.604,0,0,0,0,0,0,2.353,0,1.765,0,0,0,3.209,0,0,0,1.604,0,33.694,0.588,0,1.176,0,1.604,0,0,0,0,0,0,0,8.022,0,0,2.353,0,0,0,1.176,0,0,0.588,0,0,5.294,0,0,0,0,0.588,0,0,0,0,1.176,4.118,0,1.176,0.588,0,0,0,0,0,0,0,0.588,0,8.022,0,0,0,3.529,1.604,0,0,0,0,0,1.604,0.588,1.604,0,0,0,0,0,0.588,0,1.176,0,1.176,0,0,0,0,0,0,0,0,0,0,0,0,1.765,0,4.118,1.765,0,0,0,4.706,0,0,8.022,0,3.529,0,0,8.824,1.604,0,0.588,0,0,0,0,0.588,0,0,0,0,0,3.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941,0,0,0,0,0,0,0,1.176,0,0,0,0,0,0,0,0,0,1.604,0,0
