patch_code,myrtus_presence,patch_size(ha),disturbance(proportion_of_nitrophilous_ruderal_spp),R1_2002,R2_2002,R5_2002,R1_1956,R2_1956,R5_1956,UTM30SX,UTM30SY
366,0,3.91,0.533,0.01245,0.00311,0.0005,0.01496,0.00374,0.0006,380429,4179999
367,0,3.54,0.522,0.01127,0.00282,0.00045,0.02248,0.02598,0.00479,355574,4190533
368,0,9.81,0.273,0.03124,0.00781,0.00125,0.21824,0.07752,0.015,306779,4184340
66,1,2.04,0.487,0.0065,0.00163,0.00026,0.00647,0.01494,0.00339,248491,4144865
9,0,14.15,0.721,0.04506,0.01126,0.0018,0.07198,0.0382,0.01798,248477,4128866
91,0,16.38,0.833,0.05214,0.01304,0.00209,0,0,0,283191,4103843
138,1,16.76,0.706,0.05336,0.01334,0.00213,0.01897,0.00474,0.00076,386443,4210462
182,0,5.48,0.5,0.01743,0.00436,0.00121,0.01963,0.03592,0.02161,148040,4145056
11,0,12.38,0.273,0.04264,0.0143,0.00229,0.07223,0.08822,0.03292,247611,4121267
94,0,23.18,0.667,0.08575,0.02144,0.00343,0.6312,0.33292,0.12487,294081,4162660
2119,0,4.04,0.765,0.01286,0.00321,0.00117,0.19267,0.05157,0.00915,246388,4049318
2046,0,8.53,0.444,0.04896,0.01274,0.00204,0.0505,0.01713,0.00326,226771,4072002
30,1,17.61,0.474,0.06846,0.02001,0.0032,0.20034,0.05934,0.01037,283814,4118353
2069,0,25.46,0.538,0.08105,0.02519,0.00403,0.102,0.03725,0.01104,228312,4057718
162,1,26.43,0.481,0.10179,0.02607,0.00417,0.33827,0.20383,0.05714,174531,4144617
2051,0,2.56,0.471,0.00815,0.00204,0.00112,0.01211,0.01561,0.00255,222661,4057164
110,0,13.05,0.644,0.04154,0.02006,0.00321,0.02985,0.04721,0.01053,225604,4159405
2047,0,5.7,0.533,0.04532,0.01274,0.00204,0.0505,0.01412,0.00326,226310,4071682
8,0,19.37,0.58,0.06168,0.01542,0.004,0.22676,0.09665,0.0298,248109,4135332
102,0,49.78,0.578,0.15847,0.03962,0.00634,0.06947,0.03241,0.00673,290230,4179177
286,0,13.34,0.25,0.04246,0.01372,0.00359,0.31337,0.13724,0.09778,153473,4121464
298,0,7.16,0.41,0.0228,0.0057,0.00279,0.03762,0.30275,0.40998,137308,4137809
10,0,4.58,0.718,0.01457,0.0143,0.00229,0.08732,0.06768,0.03042,246256,4122179
29,0,1.16,0.611,0.0037,0.00092,0.0011,0.01734,0.02649,0.00843,290545,4127743
351,0,3.9,0.368,0.01242,0.01372,0.00231,0.16969,0.08713,0.03462,151999,4122409
2094,1,32.16,0.345,0.10239,0.0256,0.00655,0.10752,0.02688,0.00816,218575,4038570
105,0,14.96,0.607,0.08703,0.02176,0.00483,0.39815,0.22062,0.05522,329094,4175780
109,0,12.16,0.529,0.0387,0.02006,0.00443,0.19283,0.05807,0.01633,224886,4160639
106,0,12.38,0.652,0.08703,0.02176,0.00483,0.43283,0.24444,0.05522,329626,4175342
1,0,23.59,0.645,0.07511,0.02824,0.00629,0.08261,0.04493,0.01257,255177,4142249
5,0,14.23,0.552,0.07551,0.01888,0.00518,0.28701,0.11358,0.02241,254032,4135781
2048,0,1.78,0.533,0.02057,0.01274,0.00204,0.02526,0.01829,0.00326,226431,4072929
2074,0,8.04,0.364,0.04488,0.01122,0.00423,0,0,0.0073,236566,4054693
2073,0,6.06,0.364,0.04488,0.01122,0.00379,0,0,0.00665,236321,4055082
107,1,10.56,0.597,0.03362,0.0084,0.00483,0.21638,0.25138,0.05522,330626,4177460
40,0,34.81,0.643,0.11083,0.02771,0.00768,0,0,0.00218,250740,4092784
31,1,3.63,0.636,0.03078,0.02001,0.0032,0.15937,0.05934,0.01037,284956,4118818
3,0,17.42,0.577,0.05546,0.0226,0.00629,0.07909,0.0352,0.01314,253208,4141816
51,0,0.63,0.591,0.002,0.0005,0.00172,0,0,0,271342,4092283
161,1,5.55,0.633,0.10399,0.02607,0.00417,0.43535,0.20088,0.0594,174187,4144152
2036,0,5.55,0.75,0.04309,0.02659,0.00425,0,0,0.00029,225892,4064015
301,0,56.54,0.364,0.19167,0.05235,0.01147,0.16812,0.21404,0.38696,133037,4142408
3028,0,15.35,0.65,0.09939,0.02485,0.00786,0.27267,0.31169,0.14333,166335,4139159
39,0,76.7,0.595,0.24385,0.06581,0.013,0.03361,0.0582,0.02527,238202,4087020
350,0,12.05,0.667,0.03837,0.00959,0.00765,0.03308,0.01347,0.03769,250446,4137242
307,0,36.48,0.377,0.13871,0.04018,0.01106,0.33547,0.12544,0.06117,128392,4133770
3003,1,106.87,0.35,0.30809,0.08505,0.01493,0,0.10328,0.23747,141540,4142845
206,1,94.63,0.239,0.29889,0.08263,0.01476,0.46007,0.20486,0.10339,184834,4132654
6,0,2.99,0.566,0.05286,0.01987,0.0056,0.31677,0.11661,0.02381,253644,4136379
2083,0,26.87,0.188,0.1134,0.02866,0.01188,0.16192,0.04065,0.02231,215047,4048429
281,1,28.26,0.4,0.08998,0.02249,0.01209,0.32496,0.19322,0.12812,178721,4140238
134,0,33.25,0.457,0.12055,0.04326,0.01281,0.01402,0.00746,0.0024,380288,4160683
2035,0,18.29,0.414,0.07978,0.03845,0.01091,0.07756,0.03913,0.0676,265991,4070036
131,0,3.12,0.727,0.00994,0.00344,0.00649,0,0,0,395839,4151869
77,0,58.87,0.75,0.18759,0.0529,0.0152,0.21795,0.07814,0.09106,219273,4135123
306,1,18.02,0.347,0.05736,0.01434,0.01111,0.12863,0.21903,0.17373,130154,4137891
52,1,84.36,0.5,0.26855,0.06713,0.01689,0.25813,0.06453,0.01283,232176,4123207
13,0,138.57,0.682,0.40435,0.11979,0.01916,0.36944,0.12681,0.02352,213650,4143777
