Series Name,Series Code,Country Name,Country Code,2010 [YR2010]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Afghanistan,AFG,105
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Albania,ALB,16.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Algeria,DZA,27.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,American Samoa,ASM,NA
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Andorra,ADO,3.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Angola,AGO,182.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Antigua and Barbuda,ATG,9.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Argentina,ARG,14.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Armenia,ARM,18
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Aruba,ABW,NA
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Australia,AUS,4.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Austria,AUT,4.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Azerbaijan,AZE,39
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Bahamas, The",BHS,13.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bahrain,BHR,8.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bangladesh,BGD,49.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Barbados,BRB,14.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belarus,BLR,6.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belgium,BEL,4.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Belize,BLZ,19
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Benin,BEN,111.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bermuda,BMU,NA
