DATE,PLOT ID,P1 (3-6),,P1 (9-12),,P1 (15-18),,P2 (3-6),,P2 (9-12),,P2 (15-18),,P3 (3-6),,P3 (9-12),,P3 (15-18),,P4 (3-6),,P4 (9-12),,P4 (15-18),,MIDDLE (3-6),,MIDDLE (9-12),,MIDDLE (15-18),,CENTER (3-6),,CENTER (9-12),,CENTER (15-18),,Month,Early/Late,
5/24/2017 00:00,1-1-C,0,15,0,14.8,0.04,14.6,0,14.5,0,14.3,0.03,14.5,0.03,14.7,0.03,14.7,0.05,14.5,0.02,14.5,0.04,14.6,0.14,14.3,NA,NA,NA,NA,NA,NA,0,15.4,0.02,15.3,0.06,15.2,May,L,MayL
6/2/2017 00:00,1-1-C,0.03,16.2,0.02,15.4,0.02,15,0.02,16,0.01,14.9,0.03,14.6,0.02,15.8,0.05,14.8,0.03,14.5,0.02,15.6,0.04,14.9,0.06,14.6,NA,NA,NA,NA,NA,NA,0.02,16,0.03,15.3,0.07,14.6,June,E,JuneE
6/8/2017 00:00,1-1-C,0,14.9,0,14.4,0.03,14.1,0,15,0,14.5,0.07,14.2,0,14.5,0.01,14.3,0.06,13.9,0,14.7,0.01,14.5,0.04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
7/11/2017 00:00,1-1-C,0.02,18.6,0.02,17.8,0.02,17.5,0,18.5,0.01,17.8,0.05,17.4,0,18.7,0.01,17.8,0.05,17.4,0.02,18.5,0.03,18,0.04,17.7,NA,NA,NA,NA,NA,NA,0.01,18.6,0.01,17.9,0.02,17.2,July,E,JulyE
5/24/2017 00:00,1-1-I,0,15.2,0.03,14.7,0.14,13.8,0.03,14.7,0.02,14.8,0.06,14.5,0.03,14.8,0.07,14.4,0.18,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,15.3,0.06,14.4,0.2,14.3,May,L,MayL
6/2/2017 00:00,1-1-I,0.03,15.8,0.1,15,0.13,14.7,0.03,15.5,0.05,15,0.1,14.6,0,15.9,0.02,15.5,0.1,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,15.8,0.02,15.2,0.02,14.7,June,E,JuneE
6/8/2017 00:00,1-1-I,0.02,14.3,0.07,14,0.11,13.5,0.01,14.5,0.01,13.9,0.11,13.5,0.02,14.8,0,14,0.12,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,14.9,0.02,14,0.17,13.6,June,E,JuneE
7/11/2017 00:00,1-1-I,0.04,18.1,0.05,17.7,0.15,17.2,0.04,18.2,0.06,17.7,0.17,16.9,0.01,18.2,0.07,17.7,0.19,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,18.1,0.05,17.5,0.14,17,July,E,JulyE
5/25/2017 00:00,1-1-R,0.04,14.9,0.03,15.5,0.08,14.8,0.04,15.1,0.03,15.1,0.09,15,0.04,15,0.03,15.4,0.08,14.8,NA,NA,NA,NA,NA,NA,0.02,15.5,0.02,15.5,0.09,14.7,0.04,15.5,0.03,15.1,0.06,15,May,L,MayL
6/2/2017 00:00,1-1-R,0.05,16.3,0.08,15.7,0.06,15,0.07,16.2,0.04,15.8,0.03,14.9,0.04,16.1,0.04,15.6,0.05,15,NA,NA,NA,NA,NA,NA,0.03,15.7,0.08,15.3,0.07,14.8,0.04,16.5,0.03,16.3,0.05,14.8,June,E,JuneE
6/8/2017 00:00,1-1-R,0.05,15,0.05,14.6,0.09,13.9,0.08,14.9,0.03,14.4,0.07,14.1,0,15.1,0.02,14.4,0.08,14.1,NA,NA,NA,NA,NA,NA,0,15.3,0.15,14.7,0.17,14,0,15.3,0.02,14.7,0.06,14.3,June,E,JuneE
7/11/2017 00:00,1-1-R,0.04,18.6,0.04,18.2,0.11,17.5,0.05,18.6,0.04,18.1,0.19,17.6,0.04,18.6,0.09,18,0.13,17.7,NA,NA,NA,NA,NA,NA,0,18.5,0.02,18.3,0.09,17.6,0.05,18.6,0.05,18.1,0.07,17.8,July,E,JulyE
5/26/2017 00:00,1-2-C,0.02,14.3,0.01,14.5,0.04,13.7,0,14.5,0,13.7,0.01,13.2,0.02,14.2,0.06,13.6,0.05,13.3,0.04,14.1,0.07,14.2,0.02,13.4,NA,NA,NA,NA,NA,NA,0.4,15.1,0.04,14.4,0,13.8,May,L,MayL
6/3/2017 00:00,1-2-C,0.03,14.7,0,14.4,0.02,14.2,0.03,14.8,0.01,14.5,0.11,14,0.04,14.7,0.02,14.5,0.02,14.1,0.03,14.9,0.01,14.4,0.03,14.2,NA,NA,NA,NA,NA,NA,0.03,14.7,0.04,14.3,0,14.1,June,E,JuneE
6/12/2017 00:00,1-2-C,0.01,17.1,0,16.2,0.03,14.4,0.07,16.9,0.05,15.9,0.07,15,0.06,17.1,0.01,16,0.08,14.8,0.02,17.2,0.01,16.2,0.03,15,NA,NA,NA,NA,NA,NA,0.05,17.2,0,16,0.03,15,June,L,JuneL
5/26/2017 00:00,1-2-I,0.01,14.8,0.01,14.9,0,14.8,0.01,15,0.03,14.5,0.03,14.2,0.03,15.3,0.03,14.5,0.02,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,0,13.9,0.02,13.7,May,L,MayL
6/3/2017 00:00,1-2-I,0,14.5,0.03,14,0.02,13.8,0.03,15.6,0.03,15,0.05,14.2,0.04,14.8,0.04,14.1,0.04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,14.7,0.03,14.2,0.03,14.1,June,E,JuneE
6/12/2017 00:00,1-2-I,0.02,17.3,0.01,16.3,0.01,15.4,0.02,17,0.03,16.2,0.02,15.5,0.03,17.4,0.02,16.4,0.06,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.5,0,15.9,0.03,15.2,June,L,JuneL
5/26/2017 00:00,1-2-R,0.01,15.4,0.05,15,0,14.4,0.02,14.6,0,14.5,0,14.7,0,15.3,0.05,14.4,0.01,14.2,NA,NA,NA,NA,NA,NA,0.02,14.6,0.02,14.9,0,14.5,0.01,14.8,0.01,14.9,0,13.7,May,L,MayL
6/3/2017 00:00,1-2-R,0.01,15.5,0.02,15.2,0,14.4,0.02,15.3,0,15,0,14.3,0.11,15,0.01,14.8,0,14.7,NA,NA,NA,NA,NA,NA,0.05,15.9,0.04,14.5,0.02,14,0.04,15.4,0.02,15,0,14.5,June,E,JuneE
6/12/2017 00:00,1-2-R,0.02,17.2,0.03,15.1,0.04,14.8,0.01,17.3,0,15.8,0,15.2,0,17.4,0.01,15.6,0.01,15,NA,NA,NA,NA,NA,NA,0.04,17.1,0.02,16.2,0.04,15.2,0.03,17.2,0.07,16.2,0.03,15.1,June,L,JuneL
5/26/2017 00:00,1-3-C,0.02,14.9,0.03,14.3,0.03,14.3,0.02,14.9,0.03,14.3,0.03,14.2,0.01,14.7,0.01,14.4,0.01,13.7,0,14.5,0.01,14.1,0.02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/3/2017 00:00,1-3-C,0.04,16,0.02,15,0,14.6,0.01,15.8,0,15.5,0,14.3,0.05,15.5,0.08,15.1,0,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,15.6,0,15.6,0,14.6,June,E,JuneE
