Urban,Agriculture,BIBI,Nitrate,Phosphate
0,41.7109458,2.109998703,0.326,0.0007
0,41.67107351,1.43999958,0.276,0.0034
10.14099783,24.56616052,2.559999466,0.081,0.0007
0,41.90325973,1.88999939,0.286,0.0032
4.451650943,0.874606918,3.88999939,0.035,0.0007
2.905287623,2.324230099,3.439998627,0.061,0.0041
1.340086525,11.42766698,2.779998779,0.897,0.0007
15.31839753,68.07195674,3,3.602,0.005
14.609375,69.0625,1.569999695,3.067,0.0436
25,68.44262295,1.569999695,3.88,0.067
5.343901815,61.76595926,2.709999084,0.755,0.039
12.03931204,58.23095823,1.859999657,2.535,0.0261
6.333635443,34.28853228,3,1.371,0.0043
3.482587065,39.55223881,2.714284897,0.976,0.0007
11.98630137,84.07534247,2.777776718,6.266,0.0216
0.61155677,32.52931065,2.714284897,0.214,0.0073
0.61155677,32.52931065,4.13999939,0.174,0.0123
0.61155677,32.52931065,3.569999695,0.001,0.0091
1.421309264,20.94615624,1.285714149,0.027,0.0102
1.421309264,20.94615624,1.569999695,0.004,0.0114
1.421309264,20.94615624,1,0.032,0.0007
1.421309264,20.94615624,1.289999962,0.182,0.004
2.365184484,28.66603595,4.709999084,0.001,0.0076
2.365184484,28.66603595,4.709999084,0.001,0.0121
10.68238544,50.74957223,4.42999649,3.86,0.0019
10.68238544,50.74957223,3.859998703,6.185,0.0044
10.68238544,50.74957223,3,2.453,0.0037
10.68238544,50.74957223,3.285713196,4.328,0.004
3.185147946,68.97443263,3.289999008,5.283,0.0007
10.45531197,36.68995423,3,1.101,0.0256
3.577817531,43.11270125,2.709999084,0.107,0.0114
2.804516176,20.55800825,4.709999084,0.09,0.0045
2.804516176,20.55800825,3,0.388,0.0007
2.804516176,20.55800825,4.142856598,0.187,0.0035
0,20.9561753,4.142856598,0.15,0.0097
0,20.9561753,4.13999939,0.096,0.0164
3.159602902,25.21000382,4.709999084,0.036,0.0099
3.159602902,25.21000382,3,0.09,0.0073
3.159602902,25.21000382,3.289999008,0.019,0.0047
3.708530806,30.72274882,3.285713196,0.352,0.008
3.708530806,30.72274882,3.859998703,0.536,0.0075
3.708530806,30.72274882,4.13999939,0.213,0.0124
0.490596893,81.39820114,1,12.019,0.0007
17.05547061,18.54229437,3,0.122,0.0056
17.05547061,18.54229437,3,0.247,0.0007
17.05547061,18.54229437,3.571428299,0.193,0.006
0.144161461,38.92359443,1.859999657,0.109,0.0254
0.144161461,38.92359443,2.709999084,0.303,0.0183
0.144161461,38.92359443,2.714284897,0.254,0.0137
0.144161461,38.92359443,2.429998398,0.361,0.0106
1.031215162,53.23299889,1.285714149,3.564,0.0048
0.078636959,26.44823067,1.857142448,0.064,0.0085
0.078636959,26.44823067,1.569999695,0.029,0.0093
0.078636959,26.44823067,1.859999657,0.169,0.0071
0.078636959,26.44823067,1.859999657,0.072,0.0043
0.162581898,33.83402087,3,0.35,0.0083
0.705019741,80.87986464,3.289999008,0.021,0.0049
0.705019741,80.87986464,3.857141495,0.303,0.0046
48.98741762,18.49011384,2.109998703,1.728,0.0007
4.687404135,38.99012209,3.439998627,0.96,0.0007
4.687404135,38.99012209,2.779998779,1.167,0.0112
4.687404135,38.99012209,3.222221375,1.503,0.0007
17.39469579,37.49349974,3.88999939,3.169,0.0037
17.39469579,37.49349974,3.666666031,2.756,0.0007
17.39469579,37.49349974,4.109996796,2.649,0.0007
1.492537313,38.99253731,4.329998016,1.21,0.0057
1.492537313,38.99253731,3.88999939,1.265,0.0007
1.492537313,38.99253731,3.444442749,1.187,0.0035
2.038834951,37.81553398,3.669998169,1.594,0.0025
2.038834951,37.81553398,3.444442749,1.718,0.0007
74.28115016,22.36421725,2.329999924,5.901,0.0019
74.28115016,22.36421725,2.111110687,5.529,0.0053
74.28115016,22.36421725,2.111110687,5.632,0.0036
74.28115016,22.36421725,2.111110687,4.118,0.0007
74.28115016,22.36421725,2.559999466,4.412,0.0007
74.28115016,22.36421725,2.779998779,5.879,0.0007
0.757575758,20.35353535,3.88999939,0.516,0.0007
0.757575758,20.35353535,4.329998016,0.656,0.0007
0.757575758,20.35353535,2.777776718,0.775,0.0007
6.142563429,9.334661608,3.444442749,0.905,0.0038
6.142563429,9.334661608,4.329998016,0.519,0.0007
6.142563429,9.334661608,3.669998169,0.791,0.0046
1.797752809,7.95505618,4.559997559,0.57,0.0061
1.797752809,7.95505618,4.333332062,0.626,0.0078
1.797752809,7.95505618,3.88999939,0.557,0.0067
3.886140852,11.96773819,4.779998779,0.995,0.0007
3.886140852,11.96773819,4.333332062,0.76,0.0007
3.886140852,11.96773819,4.329998016,0.871,0.0007
3.642078424,21.15790399,3.888887405,0.6,0.0037
3.642078424,21.15790399,3.88999939,0.738,0.0007
3.642078424,21.15790399,3.88999939,1.234,0.0007
5.16316269,6.710424189,3.222221375,0.546,0.0007
5.16316269,6.710424189,3.219999313,0.256,0.0007
5.16316269,6.710424189,3.88999939,0.301,0.0007
6.851239428,37.90863063,3.666666031,1.908,0.0007
24.1773309,74.7714808,2.559999466,11.359,0.0099
1.765536723,13.20621469,4.111110687,0.295,0.003
4.624757685,57.96178344,3.669998169,1.599,0.0044
4.624757685,57.96178344,3.88999939,1.456,0.0029
0.457491422,0,4.329998016,1.141,0.0107
0.457491422,0,4.559997559,1.888,0.0112
5.022683085,57.61503564,3.444442749,1.888,0.0036
3.989478299,0,3.888887405,0.43,0.0007
3.989478299,0,4.559997559,0.189,0.0007
3.208895949,0.333598094,4.779998779,0.387,0.0007
3.949293028,4.266211604,4.559997559,0.321,0.0007
3.949293028,4.266211604,3.444442749,0.241,0.003
3.949293028,4.266211604,4.329998016,0.227,0.0032
0,0,3.222221375,1.974,0.0141
0.202370627,12.74934952,3,0.149,0.0007
0,1.006711409,1.289999962,0.097,0.0007
0,0.309917355,1.569999695,0.129,0.0007
0,3.529411765,3.289999008,0.255,0.0007
0,0,3.666666031,0.668,0.0007
0,0,4.555553436,0.275,0.0007
0,77.02349869,4.555553436,3.754,0.0176
0,14.49432125,1.289999962,0.085,0.0252
0,86.51303362,1.859999657,0.688,0.0415
0,0,1,0,0.0023
0,9.00098912,1.571428299,0,0.0048
0,86.09794629,1.859999657,3.763,0.0172
0,95.57013946,4.329998016,7.699,0.0071
0,9.718056389,1.569999695,0.513,0.0039
0,0,3.219999313,1.266,0.0007
0,8.746355685,2.13999939,0.114,0.0007
0,0,1.43999958,0.402,0
0,0.194931774,3.666666031,0.704,0.0007
0,0,3.439998627,0.283,0.0005
0,83.62014022,1.569999695,7.032,0.0292
0,86.33431351,3,5.185,0.0007
0,0,2.333332062,0.214,0.0007
0,22.52252252,1.289999962,0,0.0037
0,7.360406091,3,0.005,0.0057
0,3.305785124,3.569999695,0.275,0.0007
0,66.15691489,4.559997559,2.626,0.0025
0,0,4.109996796,1.568,0.0092
0,0,2.779998779,0.055,0.0007
0,0,2.109998703,0.225,0.0007
0,12.7388535,1.569999695,0.389,0.0007
0,11.14827202,1.859999657,0.448,0.0007
0,6.56877898,3.888887405,1.713,0.0007
0,0,3.219999313,0.136,0.0007
0,0,4.109996796,1.017,0.0007
0,14.92693111,3.569999695,1.452,0.0007
0,50.76142132,1.859999657,0.372,0.0031
0,6.717451524,3.669998169,0.642,0.006
0,74.09766454,1.285714149,3.399,0.0031
0.046168052,7.686980609,4.329998016,0.792,0.0058
0,0,4.779998779,1.557,0.0093
0.01388696,4.666018609,2.109998703,0.154,0.0007
0,0,3.439998627,0,0.0021
0,0,4.559997559,0.179,0.0029
0,25.60083595,1,0,0.0046
0.065402224,69.13015043,2.13999939,0.155,0.0007
0,0.238663484,4.109996796,0.596,0.0007
0,15.11111111,3.859998703,0.272,0.0192
0,99.74811083,2.329999924,3.636,0.0279
0,72.44670697,4.109996796,3.129,0.008
0,53.08641975,2.709999084,6.559,0.0032
0,0,4.329998016,0,0.0001
0,72.30483271,4.333332062,3.121,0.0007
0,16.93950178,4.13999939,0.214,0.0148
0,65.58891455,2.13999939,0.03,0.0131
0,0,4.109996796,0.841,0.0098
0,14.95016611,4.13999939,0.079,0.0037
0,0,2.329999924,0.032,0.0007
0,0.424929178,3,1.01,0.0013
0,5.429701546,1.859999657,0.001,0.0007
0,13.23487646,1,0,0.0033
0,0,4.559997559,0.443,0.0065
0,93.01470588,3.439998627,4.28,0.0038
0,81.44192256,1.569999695,4.879,0.0416
0,81.1784897,3.88999939,4.994,0.0153
0,96.49805447,1.569999695,4.71,0.012
0,20.94594595,4.709999084,0.374,0.0111
0,41.4893617,1.857142448,0.289,0.0178
0,100,4.109996796,9.912,0.0059
0,82.53164557,3.439998627,2.453,0.0011
0,33.70429253,1.571428299,0.222,0.0333
0,4.62407342,1.571428299,0.007,0.0019
0.034405643,71.3573026,1.569999695,0.033,0.0106
0.012115338,84.61352072,3.669998169,4.344,0.0005
0.082304527,45.30864198,4.559997559,1.382,0.0028
0.054644809,85.51912568,3.219999313,4.476,0.0037
0.073855244,81.90546529,3.88999939,3.824,0.0082
0.007753741,0.814142824,3.571428299,0.007,0.0033
0.139599814,70.26523965,2.429998398,0.192,0.0128
0.369913687,56.22688039,1.569999695,2.503,0.0048
0.238123586,64.38861769,3,0.649,0.0057
0.47680971,1.733853489,3.88999939,0.16,0.0007
0.036010083,35.36190133,2.429998398,0.238,0.0054
0.236966825,0.131648236,4.109996796,1.47,0.0007
0.368663594,33.5483871,1.859999657,0.164,0.0195
0.061124694,80.99022005,3.88999939,3.925,0.0027
0.123418698,65.56618328,1.857142448,0.336,0.007
0.061462815,79.96312231,4.329998016,3.979,0.0049
0.418994413,8.659217877,1.857142448,0,0.0034
0.27027027,0,4.329998016,0.389,0.0007
0.051361068,35.18233179,2.709999084,0.001,0.0013
0.542740841,91.18046133,2.779998779,2.161,0.0154
0.750098697,0,3.444442749,1.993,0.0019
0.446096654,74.05204461,2.559999466,2.495,0.0029
0.225225225,15.31531532,3.88999939,1.296,0.0088
0.067249496,32.07800941,3.669998169,0.687,0.0039
0.564906617,87.69887019,2.429998398,8.399,0.0086
0.655737705,26.55737705,1.669999123,0.091,0.0007
0.566572238,0,4.333332062,0.552,0.0007
0.021510002,83.45880835,2.709999084,0.117,0.0662
0.105374078,90.09483667,2.779998779,1.775,0.0051
