DATE,PLOT ID,POINT,READ 1,READ 3,READ 2
6/8/2017,1-1-C,P1,0.43,0.459,0.39
6/8/2017,1-1-C,P2,0.377,0.37,0.274
6/8/2017,1-1-C,P3,0.372,0.341,0.313
6/8/2017,1-1-C,P4,0.413,0.212,0.444
6/8/2017,1-1-C,C,0.438,0.425,0.382
7/11/2017,1-1-C,P1,0.418,0.383,0.414
7/11/2017,1-1-C,P2,0.282,0.335,0.346
7/11/2017,1-1-C,P3,0.316,0.219,0.232
7/11/2017,1-1-C,P4,0.178,0.363,0.43
7/11/2017,1-1-C,C,0.354,0.291,0.403
6/8/2017,1-1-I,P1,0.469,0.48,0.372
6/8/2017,1-1-I,P2,0.446,0.459,0.474
6/8/2017,1-1-I,P3,0.481,0.491,0.393
6/8/2017,1-1-I,C,0.452,0.421,0.419
7/11/2017,1-1-I,P1,0.461,0.436,0.465
7/11/2017,1-1-I,P2,0.428,0.427,0.451
7/11/2017,1-1-I,P3,0.468,0.452,0.481
7/11/2017,1-1-I,C,0.383,0.459,0.449
6/8/2017,1-1-R,P1,0.445,0.464,0.462
6/8/2017,1-1-R,P2,0.448,0.442,0.443
6/8/2017,1-1-R,P3,0.438,0.445,0.455
6/8/2017,1-1-R,C,0.45,0.443,0.442
6/8/2017,1-1-R,M,0.449,0.403,0.451
7/11/2017,1-1-R,P1,0.485,0.446,0.419
7/11/2017,1-1-R,P2,0.453,0.449,0.452
7/11/2017,1-1-R,P3,0.474,0.461,0.446
7/11/2017,1-1-R,M,0.468,0.476,0.445
7/11/2017,1-1-R,C,0.474,0.461,0.447
6/12/2017,1-2-C,P1,0.373,0.359,0.427
6/12/2017,1-2-C,P2,0.412,0.411,0.433
6/12/2017,1-2-C,P3,0.418,0.411,0.398
6/12/2017,1-2-C,P4,0.358,0.391,0.372
6/12/2017,1-2-C,C,0.409,0.405,0.41
6/12/2017,1-2-I,P1,0.34,0.304,0.232
6/12/2017,1-2-I,P2,0.41,0.446,0.459
6/12/2017,1-2-I,P3,0.353,0.385,0.281
6/12/2017,1-2-R,C,0.361,0.365,0.437
6/12/2017,1-2-R,M,0.439,0.456,0.447
6/12/2017,1-2-R,P1,0.384,0.352,0.31
6/12/2017,1-2-R,P2,0.406,0.36,0.427
6/12/2017,1-2-R,P3,0.415,0.414,0.376
6/12/2017,1-3-C,P1,0.313,0.329,0.32
6/12/2017,1-3-C,P2,0.33,0.252,0.342
6/12/2017,1-3-C,P4,0.286,0.329,0.393
6/12/2017,1-3-C,P3,0.314,0.299,0.293
6/12/2017,1-3-C,C,0.309,0.334,0.393
6/12/2017,1-3-I,P1,0.173,0.272,0.331
6/12/2017,1-3-I,P2,0.397,0.379,0.376
6/12/2017,1-3-I,P3,0.295,0.29,0.24
6/12/2017,1-3-I,C,0.277,0.274,0.304
6/12/2017,1-3-R,M,0.372,0.4,0.324
6/12/2017,1-3-R,P1,0.372,0.301,0.33
6/12/2017,1-3-R,P2,0.33,0.326,0.367
6/12/2017,1-3-R,P3,0.272,0.233,0.26
6/12/2017,1-3-R,C,0.338,0.249,0.397
6/8/2017,2-1-C,P1,0.301,0.272,0.331
6/8/2017,2-1-C,P2,0.277,0.306,0.314
6/8/2017,2-1-C,P3,0.325,0.266,0.345
6/8/2017,2-1-C,P4,0.392,0.341,0.224
7/10/2017,2-1-C,P1,0.175,0.191,0.173
7/10/2017,2-1-C,P2,0.153,0.161,0.148
7/10/2017,2-1-C,P3,0.179,0.141,0.157
7/10/2017,2-1-C,P4,0.273,0.141,0.191
6/8/2017,2-1-I,P1,0.444,0.329,0.432
6/8/2017,2-1-I,P2,0.398,0.35,0.38
6/8/2017,2-1-I,P3,0.391,0.229,0.267
6/8/2017,2-1-I,P4,0.434,0.487,0.402
7/10/2017,2-1-I,P1,0.277,0.272,0.354
7/10/2017,2-1-I,P2,0.289,0.401,0.128
7/10/2017,2-1-I,P3,0.236,0.314,0.334
7/10/2017,2-1-I,P4,0.458,0.452,0.243
6/8/2017,2-1-R,P1,0.455,0.462,0.446
6/8/2017,2-1-R,P2,0.394,0.422,0.402
6/8/2017,2-1-R,P3,0.438,0.44,0.449
6/8/2017,2-1-R,P4,0.447,0.418,0.444
7/10/2017,2-1-R,P1,0.419,0.461,0.366
7/10/2017,2-1-R,P2,0.366,0.424,0.43
7/10/2017,2-1-R,P3,0.339,0.418,0.468
7/10/2017,2-1-R,P4,0.447,0.425,0.394
6/13/2017,2-2-C,P1,0.41,0.419,0.413
6/13/2017,2-2-C,P2,0.382,0.238,0.393
6/13/2017,2-2-C,P3,0.311,0.371,0.331
6/13/2017,2-2-C,P4,0.36,0.391,0.392
6/13/2017,2-2-I,P2,0.284,0.268,0.234
6/13/2017,2-2-I,P3,0.319,0.255,0.33
6/13/2017,2-2-I,P4,0.261,0.241,0.229
6/13/2017,2-2-I,P1,0.244,0.275,0.258
6/13/2017,2-2-R,P1,0.337,0.313,0.415
6/13/2017,2-2-R,P2,0.4,0.389,0.372
6/13/2017,2-2-R,P3,0.362,0.348,0.398
6/13/2017,2-2-R,P4,0.394,0.272,0.359
