Date,Plot,Row,Column,ID,Lc,H,P,Ll
7/19/2017,R3,1,3,339,1,8.4,8.2,3
7/19/2017,R3,2,2,340,2,9.4,9.2,4.3
7/19/2017,R3,1,5,508,4,15.4,13.6,14.4
7/19/2017,R3,1,7,511,4,9.9,8.2,15.6
7/19/2017,R3,1,8,339,1,4.2,4,3.9
7/19/2017,R3,2,7,341,1,4.4,4.2,5.7
7/19/2017,R3,3,1,341,1,4.6,4.4,2.6
7/19/2017,R3,4,5,342,3,7.4,6.9,5.7
7/19/2017,R3,5,6,345,4,7.9,5.3,5.4
7/19/2017,R3,5,3,345,1,5.6,5.4,2.1
7/19/2017,R3,5,7,522,7,16.5,10.2,14.6
7/19/2017,R3,9,3,343,4,6.5,5.9,5.6
7/19/2017,R3,8,1,344,1,6.5,6,2.3
7/19/2017,R3,9,1,344,2,6.9,6.7,4.7
7/19/2017,R3,6,1,344,4,7.1,4.7,5.7
7/19/2017,I3,1,9,328,1,5.7,5.3,1
7/19/2017,I3,1,8,328,4,6.9,5.8,6.2
7/19/2017,I3,1,7,328,4,7.2,5.6,5.8
7/19/2017,I3,1,6,328,3,6.2,6,5.6
7/19/2017,I3,1,5,533,5,14.6,12.7,15.9
7/19/2017,I3,1,4,228,0,6.4,6.4,0
7/19/2017,I3,2,3,328,3,7.4,6.5,6.4
7/19/2017,I3,2,5,532,4,25,6.2,8
7/19/2017,I3,2,6,531,4,11.3,9.7,14.6
7/19/2017,I3,2,7,327,3,7.2,5,6.2
7/19/2017,I3,2,8,327,2,8.2,5.2,5.2
7/19/2017,I3,2,9,530,7,15,8.9,13.7
7/19/2017,I3,3,3,327,3,9.6,8.3,5.3
7/19/2017,I3,3,4,538,6,12.7,10.6,15.4
7/19/2017,I3,3,5,327,3,8.7,8,4.9
7/19/2017,I3,3,6,327,5,9,3.5,6.4
7/19/2017,I3,3,7,539,3,8.2,7.2,11.6
7/19/2017,I3,3,8,326,3,8,6.8,5.6
7/19/2017,I3,4,8,350,2,4.2,4,4.4
7/19/2017,I3,4,7,350,2,5.2,4.7,5.2
7/19/2017,I3,4,6,535,4,8.7,8.2,14.2
7/19/2017,I3,4,5,350,5,8,4.5,5.9
7/19/2017,I3,4,3,325,2,6,5.8,5.4
7/19/2017,I3,5,3,349,2,5.6,5.2,5
7/19/2017,I3,5,4,537,4,12.2,9.4,15.9
