Date,Plot,ID,Lc,H,P,Ll
9/12/2017,C3,347,5,14.1,11,13.6
9/12/2017,C3,327,2,8.7,8,5
9/12/2017,C3,488,6,16.2,7.4,13.3
9/12/2017,C3,329,1,8.3,4.3,2.3
9/12/2017,C3,489,6,10.3,8.2,14.6
9/12/2017,C3,490,5,14.1,7.1,16.3
9/12/2017,C3,492,4,8.7,7,12.1
9/12/2017,C3,333,1,6.1,2.7,1
9/12/2017,C3,334,1,7.1,6.9,5.3
9/12/2017,C3,494,4,15.2,12.1,15
9/12/2017,C3,233,0,15,3.1,0
9/12/2017,C3,332,1,16,5.6,4.6
9/12/2017,C3,493,4,9.1,7.8,13.1
9/12/2017,C3,333,1,5.8,4.5,4.7
9/12/2017,C3,333,0,5.7,3.7,0
9/12/2017,C3,334,0,4.3,2.1,0
9/12/2017,C3,334,2,7.4,5.1,6.3
9/12/2017,C3,334,0,7.7,6.3,0
9/12/2017,C3,334,1,6.7,4.7,0
9/12/2017,C3,333,1,6,3.2,1.4
9/12/2017,C3,497,4,11.7,9.3,14.3
9/12/2017,C3,498,3,6.3,3.7,9.2
9/12/2017,C3,335,1,6.2,4.3,5.3
9/12/2017,C3,187,2,5.3,2.7,2.6
9/12/2017,C3,499,4,10,8.1,12.7
9/12/2017,C3,335,0,7.6,4.2,0
9/12/2017,C3,503,6,12,7.3,11.3
9/12/2017,C3,502,4,7.3,7,8.3
9/12/2017,C3,501,5,10.7,7.2,14
9/12/2017,C3,193,4,8.7,7.9,12.7
9/12/2017,C3,337,3,6.4,5.3,4.3
9/12/2017,C3,507,5,13.7,8.2,9.2
9/12/2017,C3,337,0,3.7,2.1,0
9/12/2017,C3,337,2,6.4,3.9,3
9/12/2017,C3,506,5,4.9,6.2,11.7
9/12/2017,C3,498,5,6.3,3.7,6.8
9/12/2017,C3,500,7,18.2,4.2,14
9/12/2017,C3,504,7,11.3,4.3,12.3
9/12/2017,C3,337,0,5.7,2,0
9/12/2017,I3,228,0,8,8,0
9/12/2017,I3,328,2,8.3,5.9,1.3
9/12/2017,I3,328,3,8.1,5.9,5
9/12/2017,I3,328,1,4.7,1.7,1.2
9/12/2017,I3,530,7,14.7,8.4,13.7
9/12/2017,I3,327,3,10.3,10,6.4
