"Reg","Elev","Precip","Temp","LAI","Height","Biomass"
"1","Eastern Cascades Slopes and Foothills",914,581,7.95,2.1,12,8493
"2","Eastern Cascades Slopes and Foothills",887,581,7.95,1,33,11269
"3","Eastern Cascades Slopes and Foothills",894,581,7.95,2.5,12,13905
"4","Eastern Cascades Slopes and Foothills",917,510,7.8,1.7,12,14782
"5","Eastern Cascades Slopes and Foothills",899,519,7.83,2.4,14,5777
"6","Eastern Cascades Slopes and Foothills",900,521,7.84,2,12,4812
"7","Eastern Cascades Slopes and Foothills",897,521,7.84,3.2,18,6778
"8","Eastern Cascades Slopes and Foothills",893,521,7.84,2.7,19,6705
"9","Eastern Cascades Slopes and Foothills",917,521,7.84,0.9,13,1968
"10","Eastern Cascades Slopes and Foothills",1129,482,7.9,3.2,9,1776
"11","Eastern Cascades Slopes and Foothills",1233,600,7.16,2.1,14,5518
"12","Eastern Cascades Slopes and Foothills",969,777,7.01,4.3,23,12650
"13","Eastern Cascades Slopes and Foothills",918,521,7.84,0,28,1217
"14","Eastern Cascades Slopes and Foothills",978,749,7.11,3.4,17,14725
"15","Eastern Cascades Slopes and Foothills",906,563,7.68,2.3,23,4275
"16","Eastern Cascades Slopes and Foothills",904,521,7.84,2,15,6057
"17","Eastern Cascades Slopes and Foothills",891,597,7.56,2.8,13,4974
"18","Eastern Cascades Slopes and Foothills",1114,599,7.47,1.5,11,13477
"19","Eastern Cascades Slopes and Foothills",899,592,7.57,1.4,12,2588
"20","Eastern Cascades Slopes and Foothills",1188,482,7.9,1,4,611
"21","Coast Range",227,2489,10.4,13,7,4760
"22","Coast Range",320,2572,10.29,9.2,5,3794
"23","Coast Range",138,2562,10.32,9.4,8,3470
"24","Coast Range",344,2665,10.16,10.3,14,11030
"25","Coast Range",319,2665,10.16,10.4,24,20060
"26","Coast Range",241,2827,9.95,8.6,23,27971
"27","Coast Range",272,2827,9.95,7.9,34,44965
"28","Coast Range",281,2827,9.95,7.5,27,55980
"29","Coast Range",267,2539,10,5.7,34,53769
"30","Cascades",809,2152,9.22,3.8,7,1802
"31","Cascades",835,2152,9.22,3.7,9,1467
"32","Cascades",784,2152,9.22,1.8,7,1509
"33","Cascades",777,2181,9.31,8.4,17,8632
"34","Cascades",731,2152,9.22,8.9,18,6343
"35","Cascades",815,2152,9.22,4.6,18,13600
"36","Cascades",742,2187,9.56,10,25,16552
"37","Cascades",896,2187,9.56,8,25,38446
"38","Cascades",879,2152,9.22,8.5,28,31852
"39","Cascades",822,2181,9.31,7,17,43483
"40","Cascades",772,2152,9.22,5.6,20,36696
"41","Cascades",853,2152,9.22,6.5,16,46826
"42","Eastern Cascades Slopes and Foothills",1188,482,7.9,0.9,4,776
"43","Eastern Cascades Slopes and Foothills",941,521,7.84,0.1,2,225
"44","Eastern Cascades Slopes and Foothills",1138,542,7.68,0.3,4,257
"45","Eastern Cascades Slopes and Foothills",1129,482,7.9,1.5,8,3424
"46","Eastern Cascades Slopes and Foothills",1177,498,7.8,1.5,15,5217
