Plot ID,Tree ID,Species,Direction,Heights
1-1-C,1,ACRU,N,9
1-1-C,1,ACRU,N,8.5
1-1-C,1,ACRU,N,7
1-1-C,1,SAAL,N,10
1-1-C,1,ACRU,S,5
1-1-C,1,ACRU,S,7
1-1-C,1,SAAL,S,6
1-1-C,2,ACRU,N,5
1-1-C,2,SAAL,N,25
1-1-C,2,ACRU,S,8
1-1-C,2,SAAL,S,27
1-1-C,2,SAAL,S,22
1-1-C,3,ACRU,N,11
12341,1,ACRU,n,5
2-1-C,1,ACRU,N,13
2-1-C,1,ACRU,N,11
2-1-C,1,ACRU,N,8
2-1-C,1,ACRU,N,10
2-1-C,1,ACRU,N,7
2-1-C,1,ACRU,N,10
2-1-C,1,ACRU,N,9
2-1-C,1,ACRU,N,7
2-1-C,1,ACRU,N,4
2-1-C,1,ACRU,N,13
2-1-C,1,ACRU,S,7
2-1-C,1,ACRU,S,6
2-1-C,1,ACRU,S,9.5
2-1-C,1,ACRU,S,8
2-1-C,1,ACRU,S,5
2-1-C,1,ACRU,S,15
2-1-C,1,ACRU,S,5
2-1-C,1,ACRU,S,5
2-1-C,1,ACRU,S,7
2-1-C,1,SAAL,S,10
2-1-C,2,ACRU,N,7
2-1-C,2,ACRU,N,9
2-1-C,2,ACRU,N,10
2-1-C,2,ACRU,N,9
2-1-C,2,ACRU,N,15
2-1-C,2,ACRU,N,13
2-1-C,2,ACRU,N,8
2-1-C,2,ACRU,N,7
2-1-C,2,ACRU,S,10
2-1-C,2,ACRU,S,10
2-1-C,2,ACRU,S,8
2-1-C,2,SAAL,S,9
2-1-C,2,SAAL,S,15
2-1-C,2,QUSP,S,15
2-1-C,2,QUSP,S,12
2-1-C,3,ACRU,N,7
2-1-C,3,ACRU,N,9
2-1-C,3,QUSP,N,7
2-1-C,3,ACRU,S,10
2-1-C,3,ACPL,S,6
2-1-C,3,ACPL,S,6
2-1-C,3,ACPL,S,6
2-1-T,1,ACRU,N,14
2-1-T,1,ACRU,N,6
2-1-T,1,ACRU,N,6
2-1-T,1,SAAL,N,24
2-1-T,1,SAAL,N,11
2-1-T,1,ACRU,S,12
2-1-T,1,ACRU,S,11
2-1-T,1,ACRU,S,5
2-1-T,1,ACRU,S,6
2-1-T,1,ACRU,S,3
2-1-T,1,ACRU,S,4
2-1-T,1,ACRU,S,7
2-1-T,1,SAAL,S,12
2-1-T,2,ACRU,N,18
2-1-T,2,ACRU,S,25
2-1-T,2,ACRU,S,12
2-1-T,3,ACRU,N,10
2-1-T,3,ACRU,N,10
2-1-T,3,ACRU,N,7
2-1-T,3,ACRU,N,8
2-1-T,3,ACRU,N,12
2-1-T,3,ACRU,N,10
2-1-T,3,ACRU,N,6
2-1-T,3,QUSP,N,6
2-1-T,3,ACRU,S,18
2-2-C,1,ACRU,N,17
2-2-C,1,SAAL,N,13
2-2-C,1,QUSP,N,13
2-2-C,1,QUSP,N,33
2-2-C,1,ACRU,S,9
2-2-C,1,QUSP,S,7.5
2-2-C,2,ACRU,N,10
2-2-C,2,ACRU,S,8
2-2-C,2,ACRU,S,10
2-2-C,2,ACRU,S,9
2-2-C,2,QUSP,S,22
2-2-C,3,ACRU,N,15
2-2-C,3,ACRU,N,13
2-2-C,3,ACRU,N,10
2-2-C,3,ACRU,N,13
2-2-C,3,ACRU,N,10
2-2-C,3,ACRU,N,8
2-2-C,3,SAAL,N,10
2-2-C,3,ACRU,S,6
2-2-T,1,SAAL,S,17
2-2-T,2,SAAL,N,12
2-3-C,1,ACRU,N,5
2-3-C,1,QUSP,N,10
2-3-C,1,ACRU,S,7
2-3-C,1,ACRU,S,6
2-3-C,1,ACRU,S,0
2-3-C,2,ACRU,N,0
2-3-C,2,ACRU,N,0
2-3-C,2,ACRU,N,0
2-3-C,2,ACRU,N,0
2-3-C,3,ACRU,N,5
2-3-C,3,ACRU,S,7
2-3-C,3,ACRU,S,8.5
2-3-C,3,ACRU,S,9.5
2-3-T,1,ACRU,S,15
2-3-T,2,ACRU,S,6
2-3-T,2,ACRU,S,12
2-3-T,2,ACRU,S,10
2-3-T,2,ACRU,S,7
2-3-T,2,SAAL,S,22
2-3-T,2,SAAL,S,21
2-3-T,2,SAAL,S,13
2-4-C,1,ACRU,N,4
2-4-C,1,ACRU,S,12
2-4-C,1,ACRU,S,6
2-4-C,1,ACRU,S,7
2-4-C,3,ACRU,N,5
2-4-C,3,ACRU,N,6
2-4-T,1,ACRU,N,16
2-4-T,1,ACRU,N,6
2-4-T,1,SAAL,N,17
2-4-T,1,SAAL,N,13
2-4-T,2,ACRU,N,7
2-4-T,2,SAAL,N,10
2-4-T,2,SAAL,N,8
2-4-T,2,SAAL,N,14
2-4-T,2,ACRU,S,5
2-4-T,2,ACRU,S,7
2-4-T,3,ACRU,S,3
3-1-C,1,SAAL,N,22
3-1-C,2,ACRU,E,5
3-1-C,2,ACRU,E,4
3-1-C,2,ACRU,E,2
3-1-C,2,ACRU,E,5
3-1-C,2,ACRU,E,5
3-1-C,2,SAAL,E,8
3-1-C,2,ACRU,W,6
3-1-C,2,SAAL,W,9
3-2-T,1,SAAL,S,9
3-2-T,3,SAAL,S,6
3-3-C,1,ACRU,S,7
3-3-C,2,ACRU,N,4
3-3-C,2,ACRU,N,5
3-3-C,2,SAAL,N,9
3-3-C,2,ACRU,S,6
3-3-C,2,ACRU,S,6
3-3-C,2,ACRU,S,10
3-3-C,2,SAAL,S,9
3-3-C,2,SAAL,S,14
3-3-C,2,SAAL,S,19
3-3-C,3,ACRU,N,5
3-3-C,3,ACRU,N,4
3-3-C,3,SAAL,N,6
3-3-C,3,SAAL,N,9
3-3-C,3,ACRU,S,3
3-3-C,3,SAAL,S,11
3-3-T,3,SAAL,S,12
4-1-C,1,SAAL,N,10
4-1-C,1,QUSP,N,14
4-1-C,1,ACRU,S,7
4-1-C,2,ACRU,N,7
4-1-C,2,ACRU,N,5
4-1-C,2,SAAL,N,6
4-1-C,2,SAAL,N,12
4-1-C,2,ACRU,S,4
4-1-C,2,ACRU,S,3
4-1-C,2,ACRU,S,4
4-1-C,2,ACRU,S,18
4-1-C,3,ACRU,E,4
4-1-C,3,ACRU,W,3
4-1-T,1,SAAL,N,1.2
4-1-T,3,SAAL,S,10
4-2-C,1,ACRU,N,13
4-2-C,1,SAAL,N,11
4-2-C,1,SAAL,N,11
4-2-C,1,SAAL,N,7
4-2-C,1,QUSP,N,9
4-2-C,1,ACRU,S,10
4-2-C,1,ACRU,S,12
4-2-C,1,ACRU,S,6
4-2-C,1,ACRU,S,5
4-2-C,2,SAAL,N,13
4-2-C,2,ACRU,S,9
4-2-C,2,ACRU,S,7
4-2-C,2,ACRU,S,10
4-2-C,2,ACRU,S,3
4-2-C,2,ACRU,S,5
4-2-C,2,ACRU,S,12
4-2-C,2,ACRU,S,6
4-2-C,3,ACRU,N,10
4-2-C,3,SAAL,N,10
4-2-C,3,ACRU,S,9
4-2-C,3,ACRU,S,8
4-2-C,3,ACRU,S,7
4-2-C,3,ACRU,S,8
IR-1-1-C,1,ACRU,N,4
IR-1-1-C,2,ACRU,N,7
IR-1-1-C,2,SAAL,N,3
IR-1-1-C,2,ACRU,S,4
IR-1-1-C,3,ACRU,S,4
