"Plot.ID"	"P.T"	"Seed.T"	"Seedling.D"	"Stem.N"	"Stem.D"
"1"	"E-1-1-C"	"C"	"ACRU"	0.25	0	0
"2"	"E-1-1-C"	"C"	"SAAL"	0.25	0	0
"3"	"E-1-3-C"	"C"	"ACRU"	0.75	0	0
"4"	"E-1-3-C"	"C"	"SAAL"	0.5	0	0
"5"	"E-2-1-C"	"C"	"ACRU"	0.75	0	0
"6"	"E-2-1-C"	"C"	"SAAL"	0.75	0	0
"7"	"E-2-11-C"	"C"	"SAAL"	0.25	0.5	1.2644358694015
"8"	"E-2-11-C"	"C"	"ACRU"	2.5	0.5	1.2644358694015
"9"	"E-2-11-T"	"T"	"ACRU"	0.25	11	507.117870491607
"10"	"E-2-2-C"	"C"	"ACRU"	1	1	1.76330092801352
"11"	"E-2-2-C"	"C"	"SAAL"	1.5	1	1.76330092801352
"12"	"E-2-5-C"	"C"	"SAAL"	0.5	3	14.9793279541733
"13"	"E-2-8-C"	"C"	"SAAL"	0.25	0.25	0.833714078783759
"14"	"E-2-8-C"	"C"	"ACRU"	3.5	0.25	0.833714078783759
"15"	"E-3-1-C"	"C"	"SAAL"	0.25	0.25	0.204732885770144
"16"	"E-3-1-C"	"C"	"ACRU"	0.5	0.25	0.204732885770144
"17"	"E-3-10-C"	"C"	"ACRU"	1	0	0
"18"	"E-3-10-C"	"C"	"SAAL"	1	0	0
"19"	"E-3-11-C"	"C"	"SAAL"	1.75	0	0
"20"	"E-3-11-C"	"C"	"ACRU"	2.25	0	0
"21"	"E-3-12-C"	"C"	"ACRU"	1.5	0.5	0.645757662685758
"22"	"E-3-12-T"	"T"	"ACRU"	0.5	15.75	608.65314629633
"23"	"E-3-19-C"	"C"	"ACRU"	2.5	0.75	3.28100014709715
"24"	"E-3-19-C"	"C"	"SAAL"	1	0.75	3.28100014709715
"25"	"E-3-2-C"	"C"	"ACRU"	5.25	0.25	0.0331496088730943
"26"	"E-3-2-C"	"C"	"SAAL"	0.75	0.25	0.0331496088730943
"27"	"E-3-20-C"	"C"	"SAAL"	0.25	4	29.3305068746852
"28"	"E-3-20-C"	"C"	"ACRU"	3	4	29.3305068746852
"29"	"E-3-20-T"	"T"	"ACRU"	0.25	22.5	616.765554858643
"30"	"E-3-21-C"	"C"	"ACRU"	4.25	0.25	5.56171072176471
"31"	"E-3-21-C"	"C"	"SAAL"	0.5	0.25	5.56171072176471
"32"	"E-3-21-T"	"T"	"ACRU"	0.5	12	277.829916707017
"33"	"E-3-22-C"	"C"	"SAAL"	0.75	0	0
"34"	"E-3-22-C"	"C"	"ACRU"	5	0	0
"35"	"E-3-24-C"	"C"	"ACRU"	0.75	0	0
"36"	"E-3-24-C"	"C"	"SAAL"	2.25	0	0
"37"	"E-3-24-T"	"T"	"SAAL"	0.5	7.25	159.983531931382
"38"	"E-3-24-T"	"T"	"ACRU"	0.25	7.25	159.983531931382
"39"	"E-3-3-C"	"C"	"ACRU"	1	0	0
"40"	"E-3-3-C"	"C"	"SAAL"	1	0	0
"41"	"E-3-4-C"	"C"	"ACRU"	6	0	0
"42"	"E-3-4-C"	"C"	"SAAL"	1.5	0	0
"43"	"E-3-4-T"	"T"	"SAAL"	0.5	7.5	250.714480337306
"44"	"E-3-5-C"	"C"	"SAAL"	1	1.75	5.14904082006029
