"Plot Title: Solar HT"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10257325, SEN S/N: 10257325)","Intensity, lum/ft² (LGR S/N: 10257325, SEN S/N: 10257325)","End Of File (LGR S/N: 10257325)"
1,04/08/16 11:00:00 AM,57.441,19.0,
2,04/08/16 11:15:00 AM,74.098,1536.0,
3,04/08/16 11:30:00 AM,68.763,1856.0,
4,04/08/16 11:45:00 AM,68.934,3584.0,
5,04/08/16 12:00:00 PM,74.619,1600.0,
6,04/08/16 12:15:00 PM,84.295,1920.0,
7,04/08/16 12:30:00 PM,78.624,1344.0,
8,04/08/16 12:45:00 PM,75.484,5120.0,
9,04/08/16 01:00:00 PM,83.757,6144.0,
10,04/08/16 01:15:00 PM,77.574,1664.0,
11,04/08/16 01:30:00 PM,83.579,1344.0,
12,04/08/16 01:45:00 PM,85.915,5888.0,
13,04/08/16 02:00:00 PM,80.382,2048.0,
14,04/08/16 02:15:00 PM,87.915,1920.0,
15,04/08/16 02:30:00 PM,87.186,8704.0,
16,04/08/16 02:45:00 PM,82.686,1984.0,
17,04/08/16 03:00:00 PM,81.797,2304.0,
18,04/08/16 03:15:00 PM,88.833,9216.0,
19,04/08/16 03:30:00 PM,83.757,8192.0,
20,04/08/16 03:45:00 PM,83.935,1792.0,
21,04/08/16 04:00:00 PM,79.326,1600.0,
22,04/08/16 04:15:00 PM,73.926,1152.0,
23,04/08/16 04:30:00 PM,81.621,3200.0,
24,04/08/16 04:45:00 PM,80.735,2048.0,
25,04/08/16 05:00:00 PM,79.326,4096.0,
26,04/08/16 05:15:00 PM,76.181,1280.0,
27,04/08/16 05:30:00 PM,76.354,1344.0,
28,04/08/16 05:45:00 PM,71.683,960.0,
29,04/08/16 06:00:00 PM,70.480,960.0,
30,04/08/16 06:15:00 PM,70.995,3840.0,
31,04/08/16 06:30:00 PM,78.098,4096.0,
32,04/08/16 06:45:00 PM,66.879,496.0,
33,04/08/16 07:00:00 PM,63.282,256.0,
34,04/08/16 07:15:00 PM,60.539,128.0,
35,04/08/16 07:30:00 PM,58.820,49.0,
36,04/08/16 07:45:00 PM,57.958,24.0,
37,04/08/16 08:00:00 PM,57.096,2.0,
38,04/08/16 08:15:00 PM,56.577,0.0,
39,04/08/16 08:30:00 PM,56.057,0.0,
40,04/08/16 08:45:00 PM,55.537,0.0,
41,04/08/16 09:00:00 PM,54.842,0.0,
42,04/08/16 09:15:00 PM,54.495,0.0,
43,04/08/16 09:30:00 PM,54.669,0.0,
44,04/08/16 09:45:00 PM,54.322,0.0,
45,04/08/16 10:00:00 PM,53.973,0.0,
46,04/08/16 10:15:00 PM,53.798,0.0,
47,04/08/16 10:30:00 PM,53.100,0.0,
48,04/08/16 10:45:00 PM,52.925,0.0,
49,04/08/16 11:00:00 PM,52.750,0.0,
50,04/08/16 11:15:00 PM,52.750,0.0,
51,04/08/16 11:30:00 PM,52.401,0.0,
52,04/08/16 11:45:00 PM,51.523,0.0,
53,04/09/16 12:00:00 AM,50.466,0.0,
54,04/09/16 12:15:00 AM,49.050,0.0,
55,04/09/16 12:30:00 AM,48.517,0.0,
56,04/09/16 12:45:00 AM,49.050,0.0,
57,04/09/16 01:00:00 AM,49.228,0.0,
58,04/09/16 01:15:00 AM,49.404,0.0,
59,04/09/16 01:30:00 AM,49.404,0.0,
60,04/09/16 01:45:00 AM,49.582,0.0,
61,04/09/16 02:00:00 AM,49.759,0.0,
