"Plot Title:  10904402"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10904402, SEN S/N: 10904402, LBL: TEMP)","RH, % (LGR S/N: 10904402, SEN S/N: 10904402, LBL: RH)","Coupler Detached (LGR S/N: 10904402)","Coupler Attached (LGR S/N: 10904402)","Host Connected (LGR S/N: 10904402)","End Of File (LGR S/N: 10904402)"
1,01/26/17 03:34:38 PM,67.114,59.338,,,,
2,01/26/17 03:35:21 PM,,,Logged,,,
3,01/26/17 04:04:38 PM,56.035,65.361,,,,
4,01/26/17 04:34:38 PM,52.378,71.128,,,,
5,01/26/17 05:04:38 PM,50.576,73.180,,,,
6,01/26/17 05:34:38 PM,49.825,73.988,,,,
7,01/26/17 06:04:38 PM,49.116,74.463,,,,
8,01/26/17 06:34:38 PM,49.116,74.740,,,,
9,01/26/17 07:04:38 PM,48.762,75.694,,,,
10,01/26/17 07:34:38 PM,48.405,75.295,,,,
11,01/26/17 08:04:38 PM,47.959,75.546,,,,
12,01/26/17 08:34:38 PM,47.512,75.412,,,,
13,01/26/17 09:04:38 PM,47.334,75.859,,,,
14,01/26/17 09:34:38 PM,47.019,75.438,,,,
15,01/26/17 10:04:38 PM,47.019,76.151,,,,
16,01/26/17 10:34:38 PM,46.886,75.587,,,,
17,01/26/17 11:04:38 PM,46.616,75.419,,,,
18,01/26/17 11:34:38 PM,46.256,75.350,,,,
19,01/27/17 12:04:38 AM,45.851,75.714,,,,
20,01/27/17 12:34:38 AM,45.534,75.732,,,,
21,01/27/17 01:04:38 AM,45.399,75.525,,,,
22,01/27/17 01:34:38 AM,45.172,75.718,,,,
23,01/27/17 02:04:38 AM,44.991,75.888,,,,
24,01/27/17 02:34:38 AM,44.946,75.746,,,,
25,01/27/17 03:04:38 AM,44.809,75.730,,,,
26,01/27/17 03:34:38 AM,44.627,76.173,,,,
27,01/27/17 04:04:38 AM,44.719,75.801,,,,
28,01/27/17 04:34:38 AM,44.674,75.741,,,,
29,01/27/17 05:04:38 AM,44.537,76.189,,,,
30,01/27/17 05:34:38 AM,44.400,75.792,,,,
31,01/27/17 06:04:38 AM,44.263,76.375,,,,
32,01/27/17 06:34:38 AM,44.263,76.048,,,,
33,01/27/17 07:04:38 AM,44.445,75.524,,,,
34,01/27/17 07:34:38 AM,44.355,75.650,,,,
35,01/27/17 08:04:38 AM,44.627,75.408,,,,
36,01/27/17 08:34:38 AM,45.354,74.064,,,,
37,01/27/17 09:04:38 AM,46.031,72.897,,,,
38,01/27/17 09:34:38 AM,46.526,72.675,,,,
39,01/27/17 10:04:38 AM,47.959,71.158,,,,
40,01/27/17 10:34:38 AM,50.621,68.017,,,,
41,01/27/17 11:04:38 AM,53.951,64.663,,,,
42,01/27/17 11:34:38 AM,54.820,63.901,,,,
43,01/27/17 12:04:38 PM,52.817,65.769,,,,
44,01/27/17 12:34:38 PM,53.253,64.827,,,,
45,01/27/17 01:04:38 PM,52.903,64.212,,,,
46,01/27/17 01:34:38 PM,52.378,65.350,,,,
47,01/27/17 02:04:38 PM,51.984,64.645,,,,
48,01/27/17 02:34:38 PM,52.860,62.487,,,,
49,01/27/17 03:04:38 PM,51.413,67.784,,,,
50,01/27/17 03:34:38 PM,50.533,68.805,,,,
51,01/27/17 04:04:38 PM,49.825,69.271,,,,
52,01/27/17 04:34:38 PM,48.405,69.941,,,,
53,01/27/17 05:04:38 PM,47.064,70.753,,,,
54,01/27/17 05:34:38 PM,46.526,71.617,,,,
55,01/27/17 06:04:38 PM,45.986,72.142,,,,
56,01/27/17 06:34:38 PM,45.489,71.726,,,,
57,01/27/17 07:04:38 PM,45.127,71.770,,,,
58,01/27/17 07:34:38 PM,44.901,72.466,,,,
59,01/27/17 08:04:38 PM,44.946,71.583,,,,
60,01/27/17 08:34:38 PM,44.764,71.897,,,,
61,01/27/17 09:04:38 PM,44.991,72.282,,,,
62,01/27/17 09:34:38 PM,44.719,72.806,,,,
63,01/27/17 10:04:38 PM,44.946,72.638,,,,
64,01/27/17 10:34:38 PM,45.127,72.186,,,,
65,01/27/17 11:04:38 PM,44.991,72.449,,,,
66,01/27/17 11:34:38 PM,44.946,72.582,,,,
67,01/28/17 12:04:38 AM,44.991,72.005,,,,
68,01/28/17 12:34:38 AM,44.856,72.655,,,,
69,01/28/17 01:04:38 AM,45.127,72.186,,,,
70,01/28/17 01:34:38 AM,45.217,72.502,,,,
71,01/28/17 02:04:38 AM,45.444,72.554,,,,
72,01/28/17 02:34:38 AM,45.444,72.055,,,,
