Site,Family,Genus,Species,Stage,Count
IR-RG-11I,Lumbricidae,Amynthus,,J,1
IR-LCB-8C,Lumbricidae,Allolobophora,chlorotica,A,1
IR-LCB-8C,Lumbricidae,Aporrectodea,rosea,A,2
IR-LCB-6I,Lumbricidae,Dendrodrilus,rubidus,A,1
IR-LCB-6I,Lumbricidae,Dendrobaena,octaedra,A,3
EHC-LLT-3C,Lumbricidae,Amynthus,,A,3
EHC-LLT-3C,Lumbricidae,Amynthus,,J,1
EHC-LLT-3C,Lumbricidae,Dendrobaena,octaedra,J,1
EHC-LLT-3C,Lumbricidae,Aporrectodea,,J,2
EHC-LLT-3I,Lumbricidae,Aporrectodea,,J,3
EHC-LLT-3I,Lumbricidae,Octasion,,J,8
IR-MB-17C,Lumbricidae,Amynthus,,A,1
IR-MB-17C,Lumbricidae,Octolasion,,J,1
IR-MB-17I,Lumbricidae,Aporrectodea,,J,1
LT-KM-22I,Lumbricidae,Aporrectodea,tuberrulata,A,1
LT-KM-22I,Acanthodrilidae,Octolusia,tyrtaeva,A,1
LT-KM-22C,none,none,,J,0
IR-RG-12C,Acanthodrilidae,Octolasian,tyraeum,A,1
IR-RG-12C,Lumbricidae,Eisenia,eiseni,A,1
IR-RG-12C,Lumbricidae,Aporrectodea,,J,1
IR-RG-12C,Lumbricidae,Dendrobaena,octadera,J,2
IR-RG-12C,Acanthodrilidae,Octolasion,,J,1
IR-RG-12C,Lumbricidae,Aporrectodae,rosea,A,1
IR-RB-12I,Acanthodrilidae,Octolasion,tyraeum,A,2
IR-RB-12I,Lumbricidae,Aporrectodea,rosea,A,4
IR-RB-12I,Lumbricidae,Eisenia,eiseni,A,1
IR-RB-12I,Lumbricidae,Aporrectodea,,J,3
IR-RB-12I,Lumbricidae,Dendrobaena,octaedra,A,1
IR-RB-12I,Lumbricidae,Dendrobaena,octaedra,J,1
IR-LLB-6C,Lumbricidae,Dendrodrilus,rubidus,A,7
IR-LLB-6C,Lumbricidae,Amynthus,,J,1
IR-LLB-6C,Lumbricidae,Dendrobaena,octaedra,A,1
