"","Spp","Count","Plot","Direction","Fire.affected","Type","true.plot"
"1","Impatiens spp.",55,"1-2-I","E","x","I","1-2-I-E"
"2","Rubus spp.",8,"1-2-I","E","x","I","1-2-I-E"
"3","Boehmeria spp.",25,"1-2-I","E","x","I","1-2-I-E"
"4","Polygonum spp.",4,"1-2-I","E","x","I","1-2-I-E"
"5","Persicaria spp.",6,"1-2-I","E","x","I","1-2-I-E"
"6","Monocot",7,"1-2-I","E","x","I","1-2-I-E"
"7","Berberis thunbergii",2,"1-2-I","E","x","I","1-2-I-E"
"8","Oxalis spp.",4,"1-2-I","E","x","I","1-2-I-E"
"9","Oxalis spp.",2,"1-2-I","E","x","I","1-2-I-E"
"10","Acer rubrum",6,"1-2-I","E","x","I","1-2-I-E"
"11","Vitis spp.",1,"1-2-I","E","x","I","1-2-I-E"
"12","Galium spp.",34,"1-2-I","E","x","I","1-2-I-E"
"13","Celastrus orbiculatus",1,"1-2-I","E","x","I","1-2-I-E"
"14","Parthenocissus quinquefolia",2,"1-2-I","E","x","I","1-2-I-E"
"15","Ligustrum vulgare",1,"1-2-I","E","x","I","1-2-I-E"
"16","Lindera benzoin",1,"1-2-I","E","x","I","1-2-I-E"
"17","Rosa multiflora",3,"1-2-I","E","x","I","1-2-I-E"
"18","Berberis thunbergii",28,"1-2-I","N","x","I","1-2-I-N"
"19","Rubus spp.",5,"1-2-I","N","x","I","1-2-I-N"
"20","Ligustrum vulgare",5,"1-2-I","N","x","I","1-2-I-N"
"21","Boehmeria spp.",8,"1-2-I","N","x","I","1-2-I-N"
"22","Parthenocissus quinquefolia",15,"1-2-I","N","x","I","1-2-I-N"
"23","Alliaria petiolata",1,"1-2-I","N","x","I","1-2-I-N"
"24","Impatiens spp.",4,"1-2-I","N","x","I","1-2-I-N"
"25","Viola spp.",2,"1-2-I","N","x","I","1-2-I-N"
"26","Monocot",1,"1-2-I","N","x","I","1-2-I-N"
"27","Monocot",1,"1-2-I","N","x","I","1-2-I-N"
"28","Monocot",3,"1-2-I","N","x","I","1-2-I-N"
"29","Celastrus orbiculatus",3,"1-2-I","N","x","I","1-2-I-N"
"30","Persicaria spp.",4,"1-2-I","N","x","I","1-2-I-N"
"31","Cryptotaenia canadensis",1,"1-2-I","N","x","I","1-2-I-N"
"32","Circaea lutetiana",2,"1-2-I","N","x","I","1-2-I-N"
"33","Rosa multiflora",8,"1-2-I","N","x","I","1-2-I-N"
"34","Rubus spp.",2,"1-2-R","NE","NA","R","1-2-R-NE"
"35","Boehmeria spp.",13,"1-2-R","NE","NA","R","1-2-R-NE"
"36","Plantago spp.",1,"1-2-R","NE","NA","R","1-2-R-NE"
"37","Monocot",2,"1-2-R","NE","NA","R","1-2-R-NE"
"38","Monocot",11,"1-2-R","NE","NA","R","1-2-R-NE"
"39","Monocot",4,"1-2-R","NE","NA","R","1-2-R-NE"
"40","Persicaria spp.",6,"1-2-R","NE","NA","R","1-2-R-NE"
"41","Microstegium vimineum",1,"1-2-R","NE","NA","R","1-2-R-NE"
"42","Monocot",2,"1-2-R","NE","NA","R","1-2-R-NE"
"43","Viola spp.",4,"1-2-R","NE","NA","R","1-2-R-NE"
"44","Oxalis spp.",3,"1-2-R","NE","NA","R","1-2-R-NE"
"45","Galium spp.",30,"1-2-R","NE","NA","R","1-2-R-NE"
"46","Parthenocissus quinquefolia",4,"1-2-R","NE","NA","R","1-2-R-NE"
"47","Impatiens spp.",2,"1-2-R","NE","NA","R","1-2-R-NE"
"48","Berberis thunbergii",3,"1-2-R","NE","NA","R","1-2-R-NE"
"49","Dicot",1,"1-2-R","NE","NA","R","1-2-R-NE"
"50","Celastrus orbiculatus",1,"1-2-R","NE","NA","R","1-2-R-NE"
"51","Symplocarpus foetidus",1,"1-2-R","NE","NA","R","1-2-R-NE"
"52","Alliaria petiolata",3,"1-2-R","NE","NA","R","1-2-R-NE"
"53","Polygonum spp.",3,"1-2-R","NE","NA","R","1-2-R-NE"
"54","Rosa multiflora",9,"1-2-R","NE","NA","R","1-2-R-NE"
"55","Monocot",2,"1-2-R","NE","NA","R","1-2-R-NE"
"56","Ligustrum vulgare",45,"1-2-R","SW","NA","R","1-2-R-SW"
"57","Impatiens spp.",5,"1-2-R","SW","NA","R","1-2-R-SW"
"58","Viola spp.",2,"1-2-R","SW","NA","R","1-2-R-SW"
"59","Monocot",4,"1-2-R","SW","NA","R","1-2-R-SW"
"60","Berberis thunbergii",10,"1-2-R","SW","NA","R","1-2-R-SW"
"61","Boehmeria spp.",2,"1-2-R","SW","NA","R","1-2-R-SW"
"62","Rosa multiflora",12,"1-2-R","SW","NA","R","1-2-R-SW"
"63","Lindera benzoin",2,"1-3-C","W","NA","C","1-3-C-W"
"64","Rosa multiflora",3,"1-3-C","W","NA","C","1-3-C-W"
"65","Sassafras albidum",1,"1-3-C","W","NA","C","1-3-C-W"
"66","Monocot",10,"1-3-C","W","NA","C","1-3-C-W"
"67","Alnus spp.",1,"1-3-C","W","NA","C","1-3-C-W"
"68","Polygonum spp.",2,"1-3-C","W","NA","C","1-3-C-W"
"69","Viola spp.",3,"1-3-C","W","NA","C","1-3-C-W"
"70","Berberis thunbergii",1,"1-3-C","W","NA","C","1-3-C-W"
"71","Polygonum spp.",10,"1-3-C","SE","NA","C","1-3-C-SE"
"72","Lindera benzoin",3,"1-3-C","SE","NA","C","1-3-C-SE"
"73","Dicot",1,"1-3-C","SE","NA","C","1-3-C-SE"
"74","Viola spp.",6,"1-3-C","SE","NA","C","1-3-C-SE"
"75","Dicot",1,"1-3-C","SE","NA","C","1-3-C-SE"
"76","Ligustrum vulgare",2,"1-3-C","SE","NA","C","1-3-C-SE"
"77","Berberis thunbergii",5,"1-3-C","SE","NA","C","1-3-C-SE"
"78","Dicot",1,"1-3-C","SE","NA","C","1-3-C-SE"
"79","Rosa multiflora",5,"1-3-C","SE","NA","C","1-3-C-SE"
"80","Parthenocissus quinquefolia",2,"1-3-C","SE","NA","C","1-3-C-SE"
"81","Boehmeria spp.",1,"1-3-C","SE","NA","C","1-3-C-SE"
"82","Ligustrum vulgare",11,"1-2-C","N","NA","C","1-2-C-N"
"83","Lindera benzoin",4,"1-2-C","N","NA","C","1-2-C-N"
"84","Berberis thunbergii",7,"1-2-C","N","NA","C","1-2-C-N"
"85","Parthenocissus quinquefolia",7,"1-2-C","N","NA","C","1-2-C-N"
"86","Celastrus orbiculatus",7,"1-2-C","N","NA","C","1-2-C-N"
"87","Polygonum spp.",4,"1-2-C","N","NA","C","1-2-C-N"
"88","Impatiens spp.",10,"1-2-C","N","NA","C","1-2-C-N"
