True.plot,Plot,Type,native.forb,native.shrub,unknown.forb,invasive.forb,unknown.unknown,invasive.shrub,native.tree,native.vine,invasive.vine,invasive.grass,native.fern
1-2-I-E,1-2-I,Invaded,120,8,4,6,7,6,7,3,1,0,41
1-2-I-N,1-2-I,Invaded,17,5,0,5,5,41,0,15,3,0,59
1-2-R-NE,1-2-R,Removed,53,2,5,9,21,12,0,4,1,1,108
1-2-R-SW,1-2-R,Removed,9,0,0,0,4,67,0,0,0,0,48
1-3-C-W,1-3-C,Control,3,0,2,0,10,4,4,0,0,0,230
1-3-C-SE,1-3-C,Control,7,0,13,0,0,12,3,2,0,0,60
1-2-C-N,1-2-C,Control,10,0,4,0,0,19,4,7,7,0,86
1-2-C-S,1-2-C,Control,33,0,32,20,1,10,4,5,0,0,41
1-3-I-SW,1-3-I,Invaded,17,0,0,9,1,43,14,2,0,0,34
1-3-I-W,1-3-I,Invaded,14,1,7,10,0,23,3,10,4,0,166
1-3-R-S,1-3-R,Removed,20,0,3,68,0,60,0,2,0,0,0
1-3-R-NE,1-3-R,Removed,26,4,3,28,0,41,1,3,0,0,102
1-1-C-S,1-1-C,Control,1,4,0,0,0,0,4,0,0,0,250
1-1-C-NE,1-1-C,Control,62,2,0,7,5,27,20,10,5,0,50
1-1-I-W,1-1-I,Invaded,17,10,0,15,0,42,12,18,0,0,26
1-1-I-E,1-1-I,Invaded,4,6,9,13,2,16,8,23,0,0,36
1-1-R-N,1-1-R,Removed,17,1,1,105,3,21,0,14,0,2,0
1-1-R-SW,1-1-R,Removed,2,2,0,9,0,84,14,28,0,0,2
2-3-C-E,2-3-C,Control,62,9,17,19,4,33,18,26,7,0,5
2-3-C-S,2-3-C,Control,51,13,10,16,3,15,6,8,2,0,45
1-1-I-Center,1-1-I,Invaded,1,0,1,0,2,11,6,24,0,0,3
1-2-C-Center,1-2-C,Control,20,0,3,7,1,1,0,0,0,0,146
1-2-I-Center,1-2-I,Invaded,5,3,0,1,0,12,1,4,0,0,21
1-3-C-Center,1-3-C,Control,0,0,0,0,0,0,0,0,0,0,293
1-3-I-Center,1-3-I,Invaded,7,0,5,14,0,25,0,0,0,0,36
2-1-C-Center,2-1-C,Control,90,12,20,17,0,47,43,33,28,2,9
2-1-R-N,2-1-R,Removed,2,8,19,17,0,91,9,20,2,4,117
2-1-R-S,2-1-R,Removed,1,1,14,0,0,89,6,6,0,0,13
2-1-I-W,2-1-I,Invaded,12,0,0,4,0,10,1,5,9,0,67
2-1-I-SW,2-1-I,Invaded,6,0,2,0,5,23,2,8,4,0,88
2-1-C-SW,2-1-C,Control,7,53,6,9,0,17,14,6,7,11,0
2-1-I-Center,2-1-I,Invaded,0,0,0,0,0,0,1,0,1,0,13
2-1-I-E,2-1-I,Invaded,1,0,0,0,0,9,1,0,0,0,8
2-1-R-Center,2-1-R,Removed,0,27,2,0,0,47,5,18,0,0,39
2-6-C-Center,2-6-C,Control,0,0,0,1,0,1,0,0,0,49,15
2-6-C-N,2-6-C,Control,11,0,1,0,0,6,0,0,0,49,0
2-6-I-Center,2-6-I,Invaded,1,0,4,0,0,0,0,2,1,8,0
2-6-I-NW,2-6-I,Invaded,16,0,0,0,0,0,3,0,0,24,0
2-6-R-N,2-6-R,Removed,5,0,0,3,4,23,4,6,0,21,2
2-6-R-Center,2-6-R,Removed,14,0,5,0,1,15,0,4,0,21,0
2-5-C-Center,2-5-C,Control,12,1,2,0,13,1,17,6,0,7,0
2-5-C-S,2-5-C,Control,6,1,2,0,0,3,8,1,0,10,0
2-5-I-Center,2-5-I,Invaded,9,0,1,0,0,1,6,2,0,5,3
2-5-I-NW,2-5-I,Invaded,0,0,0,1,3,1,14,0,1,2,0
2-5-R-Center,2-5-R,Removed,8,0,12,0,0,16,18,5,0,0,3
2-5-R-S,2-5-R,Removed,7,4,5,0,0,29,9,1,0,6,0
2-4-C-Center,2-4-C,Control,1,12,4,0,24,31,43,37,0,0,0
2-4-C-N,2-4-C,Control,0,4,5,0,0,26,53,41,0,0,0
2-4-I-Center,2-4-I,Invaded,3,5,2,0,2,13,8,5,4,0,18
2-4-I-S,2-4-I,Invaded,7,1,1,0,0,12,0,8,4,0,5
2-4-R-Center,2-4-R,Removed,14,4,8,12,5,35,1,0,13,0,2
2-4-R-E,2-4-R,Removed,42,0,3,7,1,7,5,3,2,0,0
2-2-I-Center,2-2-I,Invaded,3,1,0,0,0,4,7,8,3,0,4
2-2-I-NW,2-2-I,Invaded,1,3,0,0,0,2,5,2,3,0,14
2-2-R-Center,2-2-R,Removed,34,0,4,0,8,46,2,10,21,0,81
2-2-R-N,2-2-R,Removed,52,2,2,2,3,60,0,16,24,0,33
2-2-C-Center,2-2-C,Control,93,8,56,8,5,53,8,6,7,0,0
2-2-C-S,2-2-C,Control,56,1,13,4,5,35,10,14,8,0,10
