Spp,Count,Plot,Direction,Fire.affected,Type,true.plot
Impatiens spp.,55,1-2-I,E,x,I,1-2-I-E
Rubus spp.,8,1-2-I,E,x,I,1-2-I-E
Boehmeria spp.,25,1-2-I,E,x,I,1-2-I-E
Polygonum spp.,4,1-2-I,E,x,I,1-2-I-E
Persicaria spp.,6,1-2-I,E,x,I,1-2-I-E
Monocot,7,1-2-I,E,x,I,1-2-I-E
Berberis thunbergii,2,1-2-I,E,x,I,1-2-I-E
Oxalis spp.,4,1-2-I,E,x,I,1-2-I-E
Oxalis spp.,2,1-2-I,E,x,I,1-2-I-E
Acer rubrum,6,1-2-I,E,x,I,1-2-I-E
Vitis spp.,1,1-2-I,E,x,I,1-2-I-E
Galium spp.,34,1-2-I,E,x,I,1-2-I-E
Celastrus orbiculatus,1,1-2-I,E,x,I,1-2-I-E
Parthenocissus quinquefolia,2,1-2-I,E,x,I,1-2-I-E
Ligustrum vulgare,1,1-2-I,E,x,I,1-2-I-E
Lindera benzoin,1,1-2-I,E,x,I,1-2-I-E
Rosa multiflora,3,1-2-I,E,x,I,1-2-I-E
Berberis thunbergii,28,1-2-I,N,x,I,1-2-I-N
Rubus spp.,5,1-2-I,N,x,I,1-2-I-N
Ligustrum vulgare,5,1-2-I,N,x,I,1-2-I-N
Boehmeria spp.,8,1-2-I,N,x,I,1-2-I-N
Parthenocissus quinquefolia,15,1-2-I,N,x,I,1-2-I-N
Alliaria petiolata,1,1-2-I,N,x,I,1-2-I-N
Impatiens spp.,4,1-2-I,N,x,I,1-2-I-N
Viola spp.,2,1-2-I,N,x,I,1-2-I-N
Monocot,1,1-2-I,N,x,I,1-2-I-N
Monocot,1,1-2-I,N,x,I,1-2-I-N
Monocot,3,1-2-I,N,x,I,1-2-I-N
Celastrus orbiculatus,3,1-2-I,N,x,I,1-2-I-N
Persicaria spp.,4,1-2-I,N,x,I,1-2-I-N
Cryptotaenia canadensis,1,1-2-I,N,x,I,1-2-I-N
Circaea lutetiana,2,1-2-I,N,x,I,1-2-I-N
Rosa multiflora,8,1-2-I,N,x,I,1-2-I-N
Rubus spp.,2,1-2-R,NE,NA,R,1-2-R-NE
Boehmeria spp.,13,1-2-R,NE,NA,R,1-2-R-NE
Plantago spp.,1,1-2-R,NE,NA,R,1-2-R-NE
Monocot,2,1-2-R,NE,NA,R,1-2-R-NE
Monocot,11,1-2-R,NE,NA,R,1-2-R-NE
Monocot,4,1-2-R,NE,NA,R,1-2-R-NE
Persicaria spp.,6,1-2-R,NE,NA,R,1-2-R-NE
Microstegium vimineum,1,1-2-R,NE,NA,R,1-2-R-NE
Monocot,2,1-2-R,NE,NA,R,1-2-R-NE
Viola spp.,4,1-2-R,NE,NA,R,1-2-R-NE
Oxalis spp.,3,1-2-R,NE,NA,R,1-2-R-NE
Galium spp.,30,1-2-R,NE,NA,R,1-2-R-NE
Parthenocissus quinquefolia,4,1-2-R,NE,NA,R,1-2-R-NE
Impatiens spp.,2,1-2-R,NE,NA,R,1-2-R-NE
