place;longitude;latitude
1;-116.866667;36.461944
2;-115.952919;33.837197
3;-112.522733;34.252058
4;-112.522733;34.252058
5;-114.968494;41.640928
6;17.033333;3.9
7;17.067222;4.013333
8;23.45;-1.9
9;9.9975;-2.525833
10;-79.979167;40.086111
11;-106.820567;32.51335
12;-51.961944;-7.770621
13;-122.564587;47.114369
14;-105.713081;33.07647
15;-115.370128;35.987117
16;-110.883767;32.108567
17;101;43
18;99;44
19;107;43
20;-119.883333;49.666667
21;-119.883333;49.666667
22;-122.676756;46.88655
23;-122.676756;46.88655
24;-104.333333;41.666667
25;-104.333333;41.666667
26;-104.333333;41.666667
27;-91.8;40.175
28;-91.8;40.175
29;-122.461111;42.077778
30;-122.461111;42.077778
31;-122.461111;42.077778
32;-79.817545;38.630032
33;-121.183333;36.491667
34;-120.416667;50.716667
35;114.042873;4.198371
36;-71.128553;46.642616
37;-71.128553;46.642616
38;-71.128553;46.642616
39;116.322894;6.025854
40;31.101522;-6.996503
41;31.133333;-26.13333
42;31.716667;-25.966667
43;-53.2;3.616667
44;-73.0875;43.9375
45;-73.0875;43.9375
46;101.817;3.108397
47;101.817;3.108397
48;101.817;3.108397
49;-77.836728;40.876564
50;107.415229;11.439924
51;-66.289812;-14.663914
52;-123.677319;47.831161
53;-123.677319;47.831161
54;-123.677319;47.831161
55;-111.59214;33.933378
56;-110.453692;32.404346
57;-109.141331;31.98625
58;-117.019527;36.980271
59;-117.1746826;36.5140512
60;-118.844213;43.265708
61;-88.966265;37.308736
62;-71.366667;-11.9
63;-71.366667;-11.9
64;-71.366667;-11.9
65;-71.366667;-11.9
66;-99.205;23.061667
67;-81.6779;38.047623
68;-81.6779;38.047623
69;-81.6779;38.047623
70;-87.239546;39.44568
71;-51.961944;-7.770556
72;-69.611111;-13.136111
73;-110.34426;31.58513
74;-79.65;39.4
75;-79.666667;39.433333
76;-79.7;39.4
77;-112.629524;38.440673
78;-81.364002;49.115965
79;-84.140314;45.074279
80;-73.416667;-3.966667
81;-109.083237;31.939177
82;-16.43;16.6
83;-10.97;10
84;2.06;9.06
85;1.41;8.2
86;1.41;8.2
87;1.45;8.17
88;149.592;-37.474082
